,Non-member_Earnings_RANK THIS WEEK,Non-member_Earnings_RANK LAST WEEK,Non-member_Earnings_PLAYER NAME,Non-member_Earnings_EVENTS,Non-member_Earnings_MONEY,Non-member_Earnings_TOTAL
0,1,1,Henrik Stenson,10,"$2,550,185","$2,697,810"
1,2,2,Lee Westwood,8,"$1,085,414","$1,379,964"
2,3,3,Rory McIlroy,11,"$849,719","$1,239,111"
3,4,4,Graeme McDowell,11,"$645,516","$780,141"
4,5,5,Rickie Fowler,6,"$571,090","$571,090"
5,6,6,Ross Fisher,10,"$544,547","$1,142,547"
6,7,7,Martin Kaymer,11,"$454,657","$656,407"
7,8,8,Jamie Lovemark,5,"$453,872","$453,872"
8,9,9,Soren Hansen,8,"$432,644","$617,536"
9,10,10,Chris Wood,2,"$428,442","$428,442"
10,11,11,Jeev Milkha Singh,15,"$378,686","$824,436"
11,12,12,Shingo Katayama,6,"$360,000","$544,500"
12,13,13,Danny Lee,12,"$359,846","$406,346"
13,14,14,Francesco Molinari,4,"$304,368","$304,368"
14,15,15,Søren Kjeldsen,7,"$280,919","$557,669"
15,16,16,Oliver Wilson,9,"$229,273","$756,773"
16,17,17,Kevin Chappell,3,"$197,488","$197,488"
17,18,18,Peter Hanson,5,"$159,459","$357,959"
18,19,19,Miguel Angel Jiménez,8,"$148,099","$493,682"
19,20,20,Thomas Aiken,3,"$147,172","$339,672"
20,21,21,Todd Fischer,3,"$136,701","$136,701"
21,22,22,Kyle Stanley,7,"$132,039","$132,039"
22,23,23,Robert Karlsson,6,"$130,237","$243,737"
23,24,24,Chris Baryla,3,"$123,038","$123,038"
24,25,25,Thongchai Jaidee,4,"$114,601","$157,351"
25,26,26,Thomas Levet,3,"$80,755","$80,755"
26,27,27,Charl Schwartzel,6,"$76,741","$171,741"
27,28,28,Johan Edfors,3,"$74,336","$74,336"
28,29,29,José Manuel Lara,2,"$72,000","$72,000"
29,30,30,Azuma Yano,4,"$71,485","$107,485"
30,31,31,Gonzalo Fernandez-Castaño,5,"$70,617","$108,867"
31,32,32,Richard Sterne,8,"$66,518","$185,268"
32,33,33,Alvaro Quiros,9,"$65,579","$298,846"
33,34,34,Tadd Fujikawa,4,"$61,892","$61,892"
34,35,35,Derek Lamely,2,"$58,188","$58,188"
35,36,36,Brendan Jones,2,"$53,113","$98,113"
36,T37,T37,James Kingston,2,"$47,794","$127,936"
37,T37,T37,Kenichi Kuboya,1,"$47,794","$47,794"
38,39,39,Darren Clarke,7,"$34,479","$160,907"
39,40,40,Nick Dougherty,3,"$31,176","$77,676"
40,41,41,Erik Compton,5,"$27,524","$27,524"
41,42,42,Ryo Ishikawa,6,"$26,217","$26,217"
42,T43,T43,Branden Grace,1,"$25,539","$25,539"
43,T43,T43,Paul McGinley,2,"$25,539","$25,539"
44,T43,T43,Anthony Wall,2,"$25,539","$25,539"
