,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,Tiger Woods,21,"91' 8""",World Golf Championships-Cadillac Championship,2,4
1,2,2,Jeff Overton,80,"76' 10""",Deutsche Bank Championship,1,9
2,3,3,Ryan Palmer,85,"76' 6""",HP Byron Nelson Championship,1,4
3,4,4,Michael Thompson,74,"76' 1""",Wells Fargo Championship,4,17
4,5,5,Jonathan Byrd,76,"75' 11""",Wells Fargo Championship,1,18
5,6,6,Graeme McDowell,66,"74' 9""",Arnold Palmer Invitational presented by MasterCard,1,6
6,7,7,Greg Chalmers,85,"74' 0""",The McGladrey Classic,2,6
7,8,8,Retief Goosen,94,"73' 3""",Arnold Palmer Invitational presented by MasterCard,1,7
8,9,9,John Rollins,84,"72' 0""",Crowne Plaza Invitational at Colonial,4,9
9,10,10,Jason Kokrak,65,"71' 11""",Deutsche Bank Championship,3,3
10,11,11,Ben Crane,81,"71' 8""",Shell Houston Open,1,2
11,12,12,J.J. Henry,91,"70' 10""",The Honda Classic,2,15
12,13,13,Scott Verplank,24,"70' 8""",Waste Management Phoenix Open,1,18
13,T14,15,Brian Harman,111,"70' 6""",the Memorial Tournament presented by Nationwide Insurance,2,10
14,T14,14,Zachary Olsen,6,"70' 6""",Arnold Palmer Invitational presented by MasterCard,2,1
15,16,16,Tim Clark,75,"69' 9""",Frys.com Open,2,5
16,17,17,Ben Curtis,77,"69' 3""",Waste Management Phoenix Open,4,8
17,18,18,Henrik Stenson,56,"69' 2""",World Golf Championships-Bridgestone Invitational,3,13
18,19,19,Jim Herman,62,"68' 11""",Wells Fargo Championship,2,14
19,20,20,Jhonattan Vegas,77,"68' 9""",Waste Management Phoenix Open,2,7
20,21,21,Freddie Jacobson,91,"68' 6""",Frys.com Open,2,13
21,22,22,J.B. Holmes,86,"68' 3""",PGA Championship,2,2
22,23,23,Daniel Summerhays,98,"67' 10""",Shriners Hospitals for Children Open,3,13
23,T24,25,Billy Mayfair,12,"67' 9""",John Deere Classic,1,17
24,T24,24,Scott Brown,100,"67' 9""",Wells Fargo Championship,4,4
25,T26,27,Cameron Beckman,33,"66' 7""",Valero Texas Open,3,13
26,T26,26,Stewart Cink,91,"66' 7""",Humana Challenge in partnership with the Clinton Foundation,4,6
27,28,28,Harris English,95,"66' 4""",The McGladrey Classic,4,3
28,29,29,Stuart Appleby,92,"66' 2""",Sony Open in Hawaii,1,1
29,30,30,Ricky Barnes,92,"65' 8""",Wyndham Championship,3,15
30,31,31,James Driscoll,71,"65' 5""",Frys.com Open,2,14
31,32,32,Ian Poulter,57,"65' 0""",Deutsche Bank Championship,1,8
32,33,33,Jim Furyk,84,"64' 11""",Valero Texas Open,4,7
33,34,34,Thorbjørn Olesen,37,"64' 10""",Travelers Championship,1,18
34,35,35,Kevin Tway,64,"64' 8""",FedEx St. Jude Classic,1,5
35,36,36,Bud Cauley,56,"64' 7""",Zurich Classic of New Orleans,1,16
36,37,37,Brice Garnett,92,"64' 2""",Frys.com Open,1,8
