,Proximity_to_Hole_from_20-30_yards_RANK THIS WEEK,Proximity_to_Hole_from_20-30_yards_RANK LAST WEEK,Proximity_to_Hole_from_20-30_yards_PLAYER NAME,Proximity_to_Hole_from_20-30_yards_ROUNDS,Proximity_to_Hole_from_20-30_yards_AVG DTP,Proximity_to_Hole_from_20-30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_20-30_yards_# OF SHOTS,Proximity_to_Hole_from_20-30_yards_SCRAMBLING RANK
0,1,1,Kirk Triplett,88,"0""",,1,38
1,2,2,Chris Riley,104,"2""",0.16699999999999998,1,54
2,3,3,Jay Don Blake,100,"3""",0.25,1,96
3,4,4,John Huston,64,"5""",0.41700000000000004,1,116
4,T5,T5,Robin Freeman,105,"11""",0.917,1,165
5,T5,T5,Jim Furyk,88,"11""",0.917,1,12
6,7,7,Frank Lickliter II,102,"1' 6""",1.5,1,141
7,8,8,Kenny Perry,94,"1' 7""",4.75,3,20
8,T9,T9,Mathew Goggin,96,"1' 8""",1.6669999999999998,1,194
9,T9,T9,Jimmy Green,94,"1' 8""",1.6669999999999998,1,111
10,11,11,Grant Waite,78,"1' 10""",5.582999999999999,3,112
11,T12,T12,Tommy Armour III,93,"2' 2""",2.167,1,147
12,T12,T12,Jeff Sluman,106,"2' 2""",4.333,2,54
13,14,14,Ernie Els,70,"2' 4""",4.583,2,76
14,T15,T15,Chris DiMarco,108,"2' 5""",2.417,1,63
15,T15,T15,Tom Pernice Jr.,106,"2' 5""",2.417,1,96
16,T17,T17,Greg Kraft,105,"2' 6""",2.5,1,77
17,T17,T17,David Peoples,96,"2' 6""",2.5,1,121
18,T19,T19,Danny Ellis,76,"2' 8""",5.25,2,127
19,T19,T19,Davis Love III,75,"2' 8""",2.667,1,3
20,T21,T21,Brad Elder,111,"2' 9""",2.75,1,85
21,T21,T21,Bill Glasson,69,"2' 9""",2.75,1,18
22,23,23,Esteban Toledo,116,"2' 10""",2.833,1,36
23,24,24,Geoff Ogilvy,60,"3' 0""",3.0,1,186
24,T25,T25,David Frost,87,"3' 1""",3.083,1,52
25,T25,T25,Vijay Singh,98,"3' 1""",3.083,1,44
26,T27,T27,Cameron Beckman,103,"3' 2""",9.583,3,37
27,T27,T27,Bradley Hughes,96,"3' 2""",3.167,1,172
28,T29,T29,Stewart Cink,102,"3' 5""",3.417,1,68
29,T29,T29,Harrison Frazar,88,"3' 5""",3.417,1,83
30,31,31,Paul Gow,79,"3' 7""",3.583,1,34
31,32,32,"David Berganio, Jr.",76,"3' 9""",3.75,1,40
32,33,33,Glen Hnatiuk,104,"4' 1""",4.083,1,138
33,34,34,Bob May,86,"4' 2""",4.167,1,132
34,35,35,Bernhard Langer,62,"4' 3""",8.5,2,10
35,T36,T36,Briny Baird,106,"4' 4""",4.333,1,122
36,T36,T36,J.J. Henry,86,"4' 4""",8.667,2,95
37,T36,T36,Scott McCarron,98,"4' 4""",4.333,1,33
38,T39,T39,Mark Brooks,88,"4' 5""",4.417,1,5
39,T39,T39,Mike Weir,86,"4' 5""",4.417,1,14
40,41,41,Jesper Parnevik,91,"4' 8""",13.917,3,11
41,42,42,Jonathan Kaye,116,"4' 10""",4.833,1,47
42,43,43,Brian Wilson,88,"4' 11""",4.917,1,123
