,Approaches_from__100_yards_RANK THIS WEEK,Approaches_from__100_yards_RANK LAST WEEK,Approaches_from__100_yards_PLAYER NAME,Approaches_from__100_yards_ROUNDS,Approaches_from__100_yards_AVG,Approaches_from__100_yards_TOTAL DISTANCE (FEET),Approaches_from__100_yards_# OF ATTEMPTS,Approaches_from__100_yards_RELATIVE TO PAR
0,1,1,Jason Bohn,88,"28' 11""",30143.083,1043,-0.08
1,2,2,Tim Clark,81,"29' 2""",21679.667,744,-0.15
2,T3,T3,Fred Couples,54,"29' 6""",13522.167,458,-0.10
3,T3,T3,Tom Lehman,55,"29' 6""",13599.667,461,-0.05
4,5,5,Robert Allenby,71,"29' 8""",21701.333,732,-0.06
5,T6,T6,Bryce Molder,69,"30' 0""",20423.0,680,-0.10
6,T6,T6,Jay Williamson,69,"30' 0""",21682.167,722,-0.04
7,8,8,Kevin Stadler,65,"30' 1""",19417.833,646,-0.07
8,9,9,Tiger Woods,64,"30' 2""",18204.083,604,-0.19
9,T10,T10,Robert Garrigus,83,"30' 4""",25168.0,830,-0.08
10,T10,T10,Scott Sterling,51,"30' 4""",15130.833,499,-0.10
11,12,12,Patrick Sheehan,51,"30' 5""",15457.5,508,-0.11
12,T13,T13,Kris Blanks,60,"30' 6""",17912.333,588,-0.07
13,T13,T13,Jim Furyk,86,"30' 6""",25678.583,843,-0.13
14,15,15,Chad Campbell,90,"30' 8""",25975.75,846,-0.09
15,16,16,Zach Johnson,94,"30' 9""",31067.25,1010,-0.13
16,17,17,Dustin Johnson,85,"30' 10""",21361.5,693,-0.12
17,18,18,Ricky Barnes,67,"30' 11""",18327.833,593,-0.02
18,19,19,Joe Durant,62,"31' 0""",18820.5,607,-0.06
19,20,20,Ernie Els,70,"31' 1""",20314.25,653,-0.11
20,T21,T21,Lee Janzen,74,"31' 2""",23396.0,750,-0.09
21,T21,T21,Hunter Mahan,94,"31' 2""",29040.0,931,-0.12
22,T21,T21,Mike Weir,85,"31' 2""",24741.333,794,-0.13
23,24,24,Cameron Beckman,87,"31' 3""",27961.0,894,-0.06
24,T25,T25,Tag Ridings,50,"31' 4""",14322.917,457,-0.12
25,T25,T25,D.J. Trahan,96,"31' 4""",30703.583,981,-0.12
26,T27,T27,Lucas Glover,93,"31' 5""",31165.5,992,-0.09
27,T27,T27,Nick O'Hern,90,"31' 5""",34818.167,1107,-0.05
28,T27,T27,Matt Weibring,65,"31' 5""",21175.167,674,-0.11
29,T27,T27,Dean Wilson,81,"31' 5""",27009.667,859,-0.08
30,T31,T31,Alex Cejka,82,"31' 6""",28215.5,895,-0.05
31,T31,T31,Chris Stroud,88,"31' 6""",28509.583,905,-0.07
32,T31,T31,David Toms,98,"31' 6""",33036.333,1050,-0.08
33,T34,T34,Ángel Cabrera,55,"31' 7""",12716.0,403,-0.07
34,T34,T34,Heath Slocum,95,"31' 7""",34892.667,1104,-0.04
35,T34,T34,Steve Stricker,81,"31' 7""",23626.833,749,-0.11
36,T37,T37,Tommy Armour III,58,"31' 8""",20297.833,641,-0.04
37,T37,T37,Kevin Na,91,"31' 8""",30832.583,973,-0.10
38,T37,T37,Jeff Quinney,78,"31' 8""",27712.0,876,-0.06
39,T40,T40,Sergio Garcia,59,"31' 9""",16456.25,518,-0.05
