,Ryder_Cup_Euro_Points_RANK THIS WEEK,Ryder_Cup_Euro_Points_RANK LAST WEEK,Ryder_Cup_Euro_Points_PLAYER NAME,Ryder_Cup_Euro_Points_POINTS
135,147,147,Richard Johnson,60308.48
136,148,148,Alvaro Velasco,59893.29
137,149,149,Chris Doak,58843.77
138,151,151,Mikko Korhonen,57511.11
139,153,153,Gary Lockerbie,55550.0
140,154,154,Danny Denison,55546.62
141,155,155,Sam Little,55501.79
142,156,156,Andrew Johnston,54614.69
143,158,158,Paul Streeter,48825.0
144,160,160,Jarmo Sandelin,47032.92
145,161,161,Julien Guerrier,45164.5
146,163,163,Philip Golding,43160.0
147,164,164,Seve Benson,43053.97
148,165,165,Robert Dinwiddie,42250.0
149,166,166,Adam Gee,41507.0
150,167,167,Wil Besseling,40075.0
151,169,169,Mathias Grönberg,39102.07
152,170,170,Knut Borsheim,38791.91
153,172,172,John Parry,34324.0
154,173,173,Sam Hutsby,34110.0
155,174,174,Jamie Moul,33886.46
156,176,176,Roope Kakko,30992.5
157,178,178,Steven Tiley,29769.95
158,180,180,Victor Riu,28548.15
159,181,181,Bernhard Langer,28047.23
160,183,183,Carl Suneson,26650.4
161,184,184,Justin Walters,26390.67
162,185,185,Taco Remkes,25768.75
163,187,187,Sam Walker,25475.4
164,188,188,Jordi Garcia del Mora,24239.58
165,190,190,Jeppe Huldahl,24051.06
166,192,192,Damian Ulrich,23400.0
167,194,194,Jean-Francois Lucquin,21888.43
168,196,196,Florian Fritsch,21050.0
169,197,197,Alessandro Tadini,21043.75
170,198,198,Barry Lane,20430.12
171,200,200,Manuel Quirós,20000.0
