,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,1,Luke Donald,73,2.278,118.431,73.206,45.224,52
1,2,2,Webb Simpson,98,1.764,146.376,123.865,22.508000000000003,83
2,3,3,Steve Stricker,70,1.73,91.68,50.346000000000004,41.332,53
3,4,4,Nick Watney,80,1.712,106.12799999999999,72.245,33.88,62
4,5,5,Matt Kuchar,94,1.54,109.34200000000001,82.43299999999999,26.909000000000002,71
5,6,6,David Toms,78,1.2819999999999998,75.61399999999999,49.309,26.301,59
6,7,7,Charles Howell III,108,1.239,112.76100000000001,78.219,34.538000000000004,91
7,8,8,Hunter Mahan,92,1.218,92.59100000000001,52.528,40.062,76
8,9,9,Phil Mickelson,79,1.182,68.564,79.60600000000001,-11.042,58
9,10,10,Aaron Baddeley,77,1.148,71.152,51.07,20.08,62
10,11,11,Brandt Snedeker,85,1.094,73.318,33.953,39.363,67
11,12,12,K.J. Choi,77,1.079,62.556000000000004,53.091,9.462,58
12,13,13,Gary Woodland,93,1.041,72.852,80.99,-8.139,70
13,14,14,Zach Johnson,79,1.033,66.11399999999999,28.962,37.148,64
14,15,15,Martin Laird,77,0.996,61.744,51.785,9.959,62
15,T16,T16,Sergio Garcia,61,0.9840000000000001,44.262,49.622,-5.361000000000001,45
16,T16,T16,Justin Rose,79,0.9840000000000001,62.013999999999996,59.035,2.977,63
17,18,18,Jason Day,76,0.976,57.563,23.581999999999997,33.978,59
18,19,19,John Senden,94,0.9670000000000001,78.331,53.882,24.445999999999998,81
19,20,20,Charl Schwartzel,58,0.95,37.994,35.900999999999996,2.092,40
20,21,21,Kevin Streelman,90,0.934,66.314,41.071000000000005,25.244,71
21,22,22,Rickie Fowler,84,0.917,60.496,37.338,23.156999999999996,66
22,23,23,Bill Haas,93,0.9159999999999999,65.97399999999999,54.126999999999995,11.845999999999998,72
23,24,24,Freddie Jacobson,92,0.904,63.27,19.245,44.023,70
24,25,25,Bo Van Pelt,92,0.867,61.586999999999996,73.437,-11.849,71
25,26,26,J.B. Holmes,57,0.847,39.823,42.848,-3.025,47
26,27,27,Spencer Levin,113,0.846,79.506,75.766,3.736,94
27,28,28,Ryan Moore,79,0.8270000000000001,49.646,16.674,32.97,60
28,29,29,Robert Allenby,84,0.818,57.236000000000004,69.34899999999999,-12.114,70
29,T30,T30,Kevin Na,84,0.77,52.391999999999996,8.221,44.17,68
30,T30,T30,Carl Pettersson,95,0.77,69.286,25.592,43.69,90
31,32,32,Brian Gay,90,0.737,54.527,13.383,41.143,74
32,33,33,Geoff Ogilvy,69,0.722,38.992,11.067,27.923000000000002,54
33,34,34,Rory Sabbatini,85,0.7190000000000001,43.868,68.46300000000001,-24.596999999999998,61
