,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,Arjun Atwal,65,"89' 6""",Shell Houston Open,1,7
1,2,2,Jay Haas,54,"86' 9""",FBR Open,4,3
2,3,3,Jeff Brehaut,71,"83' 8""",FUNAI Classic at the WALT DISNEY WORLD Resort,2,16
3,4,4,Sergio Garcia,73,"79' 2""",THE TOUR Championship presented by Coca-Cola,2,8
4,5,5,Kent Jones,99,"77' 2""",AT&T Pebble Beach National Pro-Am,4,3
5,6,6,Hidemichi Tanaka,106,"77' 0""",BellSouth Classic,1,10
6,7,7,Brenden Pappas,51,"75' 8""",Deutsche Bank Championship,4,14
7,8,7,Brenden Pappas,51,"74' 7""",B.C. Open,2,16
8,9,9,Steve Allan,102,"73' 7""",Booz Allen Classic,4,10
9,10,10,Henrik Stenson,16,"73' 6""",World Golf Championships-American Express Championship,4,9
10,11,11,John Huston,90,"73' 0""",84 LUMBER Classic,3,5
11,T12,12,Vijay Singh,111,"71' 11""",Shell Houston Open,2,4
12,T12,13,Nick Watney,91,"71' 11""",Michelin Championship at Las Vegas,4,12
13,14,14,Patrick Prince,2,"71' 10""",Zurich Classic of New Orleans,1,14
14,15,15,David Toms,87,"71' 8""",World Golf Championships-NEC Invitational,4,6
15,16,16,Jerry Kelly,101,"71' 1""",Shell Houston Open,4,7
16,17,17,Joey Snyder III,102,"70' 2""",FBR Open,4,5
17,T18,18,Bart Bryant,91,"69' 10""",Mercedes Championships,4,2
18,T18,19,John Rollins,97,"69' 10""",FBR Open,1,14
19,20,20,Brandt Jobe,96,"69' 7""",Buick Invitational,1,10
20,21,21,Willie Wood,9,"69' 1""",John Deere Classic,1,11
21,22,22,Tripp Isenhour,18,"68' 10""",Chrysler Classic of Tucson,1,10
22,T23,23,José Coceres,56,"68' 9""",Reno-Tahoe Open,3,7
23,T23,24,Jonathan Byrd,103,"68' 9""",Michelin Championship at Las Vegas,3,11
24,25,25,Robert Gamez,91,"68' 8""",84 LUMBER Classic,1,5
25,26,26,Bob Sowards,18,"68' 2""",the Memorial Tournament,3,1
26,27,27,Richard Green,37,"67' 10""",Booz Allen Classic,1,17
27,28,28,James Driscoll,73,"67' 8""",Booz Allen Classic,4,10
28,29,29,Scott Dunlap,9,"67' 7""",Shell Houston Open,1,1
29,30,30,Steve Elkington,67,"66' 4""",Ford Championship at Doral,3,8
30,31,5,Kent Jones,99,"66' 3""",Buick Open,2,5
31,T32,32,Padraig Harrington,50,"65' 9""",Barclays Classic,4,18
32,T32,28,James Driscoll,73,"65' 9""",Chrysler Classic of Greensboro,3,2
33,34,34,Jesper Parnevik,84,"65' 7""",the Memorial Tournament,3,11
34,35,35,Rob Rashell,65,"65' 6""",Shell Houston Open,2,4
35,36,10,Henrik Stenson,16,"64' 5""",World Golf Championships-NEC Invitational,1,5
36,37,37,David Frost,24,"64' 4""",Chrysler Classic of Tucson,4,9
37,38,38,John Cook,72,"63' 11""",Buick Open,2,11
38,T39,26,Bob Sowards,18,"63' 9""",FUNAI Classic at the WALT DISNEY WORLD Resort,3,11
39,T39,39,Brian Gay,101,"63' 9""",Bank of America Colonial,1,8
40,41,41,Larry Mize,54,"63' 8""",Valero Texas Open,2,8
41,42,18,Bart Bryant,91,"63' 7""",Ford Championship at Doral,3,4
42,43,43,Stephen Leaney,89,"63' 4""",the Memorial Tournament,3,16
43,44,44,Charles Warren,89,"62' 11""",Shell Houston Open,4,7
44,45,37,David Frost,24,"62' 4""",Chrysler Classic of Tucson,1,18
45,46,6,Hidemichi Tanaka,106,"62' 2""",John Deere Classic,2,1
46,47,47,Carl Pettersson,109,"62' 1""",Bank of America Colonial,1,6
47,48,48,J.L. Lewis,98,"62' 0""",Booz Allen Classic,3,6
48,49,49,Lee Janzen,75,"61' 10""",The Honda Classic,1,16
49,50,50,"Wes Short, Jr.",44,"61' 8""",Chrysler Classic of Greensboro,4,4
50,51,51,Ryan Palmer,101,"61' 6""",Sony Open in Hawaii,1,9
51,52,52,J.P. Hayes,63,"61' 3""",Buick Open,3,15
52,53,53,Sean O'Hair,103,"61' 2""",the Memorial Tournament,2,1
53,54,34,Jesper Parnevik,84,"60' 11""",Sony Open in Hawaii,2,13
54,55,55,Skip Kendall,80,"60' 7""",FBR Open,2,5
55,56,56,Chris DiMarco,83,"60' 6""",Wachovia Championship,2,5
56,57,9,Steve Allan,102,"60' 5""",FUNAI Classic at the WALT DISNEY WORLD Resort,1,10
57,58,34,Jesper Parnevik,84,"60' 3""",FBR Open,2,10
58,T59,59,Mark Calcavecchia,92,"59' 10""",Chrysler Classic of Tucson,1,17
59,T59,61,Cameron Beckman,96,"59' 10""",Buick Championship,1,11
60,T59,60,Ryuji Imada,78,"59' 10""",Ford Championship at Doral,4,4
61,T62,64,Tom Byrum,83,"59' 9""",FUNAI Classic at the WALT DISNEY WORLD Resort,1,9
62,T62,63,Kelly Gibson,4,"59' 9""",B.C. Open,1,6
63,T62,62,Matt Kuchar,60,"59' 9""",BellSouth Classic,1,11
64,T65,66,Dan Forsman,52,"59' 7""",U.S. Bank Championship in Milwaukee,1,16
65,T65,67,Tim Herron,100,"59' 7""",84 LUMBER Classic,1,3
66,T65,65,Harrison Frazar,105,"59' 7""",Shell Houston Open,4,8
67,T65,68,Hank Kuehne,84,"59' 7""",Chrysler Classic of Greensboro,1,9
68,69,69,Tim Petrovic,97,"59' 5""",Chrysler Classic of Greensboro,1,3
69,70,70,Charles Howell III,95,"59' 4""",THE TOUR Championship presented by Coca-Cola,2,11
70,71,19,John Rollins,97,"59' 3""",EDS Byron Nelson Championship,4,18
71,T72,72,Chris Smith,93,"58' 11""",Buick Invitational,1,5
72,T72,35,Rob Rashell,65,"58' 11""",Buick Championship,2,8
73,T74,74,Dudley Hart,84,"58' 9""",Shell Houston Open,4,1
74,T74,44,Charles Warren,89,"58' 9""",Shell Houston Open,4,16
75,76,76,Tom Pernice Jr.,111,"58' 6""",Barclays Classic,4,8
76,T77,78,Stewart Cink,98,"58' 5""",Chrysler Championship,3,13
77,T77,77,Lee Westwood,50,"58' 5""",THE PLAYERS Championship,4,1
78,79,55,Skip Kendall,80,"58' 4""",Bob Hope Chrysler Classic,5,12
79,80,80,Chad Campbell,95,"58' 2""",Shell Houston Open,2,16
80,T81,48,J.L. Lewis,98,"58' 1""",U.S. Bank Championship in Milwaukee,2,8
81,T81,82,Notah Begay III,30,"58' 1""",FUNAI Classic at the WALT DISNEY WORLD Resort,4,4
82,83,83,Jeff Hart,63,"57' 10""",Valero Texas Open,2,7
83,T84,30,Steve Elkington,67,"57' 9""",FBR Open,1,3
84,T84,85,David Peoples,31,"57' 9""",Shell Houston Open,3,11
85,T86,87,Geoffrey Sisk,2,"57' 8""",Deutsche Bank Championship,2,14
86,T86,68,Hank Kuehne,84,"57' 8""",Sony Open in Hawaii,3,5
87,T88,50,"Wes Short, Jr.",44,"57' 7""",Valero Texas Open,4,16
88,T88,89,Joe Ogilvie,103,"57' 7""",Chrysler Championship,4,14
