,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Tim Clark,66,68.1,79,116,22.0
1,2,2,Chris Riley,59,63.53,54,85,26.0
2,3,3,Mike Weir,82,60.29,82,136,29.0
3,4,4,Justin Rose,63,60.2,59,98,24.0
4,5,5,Craig Barlow,52,59.76,49,82,27.0
5,6,6,Jonathan Byrd,73,59.54,78,131,29.0
6,7,7,Kevin Na,84,59.24,93,157,37.0
7,8,8,John Rollins,102,59.17,100,169,41.0
8,9,9,Geoff Ogilvy,84,59.02,72,122,39.0
9,10,10,K.J. Choi,87,58.39,80,137,40.0
10,11,11,Rod Pampling,92,58.06,90,155,36.0
11,12,12,José Coceres,50,57.89,55,95,31.0
12,13,13,Luke Donald,69,57.72,71,123,37.0
13,14,14,Aaron Baddeley,83,57.49,96,167,49.0
14,15,15,Andrew Buckle,77,57.39,66,115,30.0
15,16,16,Alex Cejka,80,57.27,63,110,19.0
16,17,17,Tim Petrovic,106,56.99,106,186,58.0
17,18,18,Marco Dawson,73,56.88,62,109,27.0
18,T19,T19,Steve Flesch,100,56.64,81,143,42.0
19,T19,T19,Charlie Wi,90,56.64,81,143,32.0
20,21,21,Matt Kuchar,85,56.59,73,129,40.0
21,22,22,Doug LaBelle II,104,56.55,95,168,46.0
22,23,23,Stuart Appleby,74,56.3,76,135,38.0
23,24,24,Anthony Kim,93,56.16,82,146,35.0
24,25,25,Charles Howell III,89,56.15,73,130,38.0
25,26,26,Glen Day,85,56.1,69,123,45.0
26,27,27,Dicky Pride,71,55.77,58,104,32.0
27,28,28,Daniel Chopra,106,55.75,97,174,40.0
28,29,29,Fred Funk,65,55.67,54,97,46.0
29,T30,T30,Lee Janzen,66,55.65,69,124,37.0
30,T30,T30,Kirk Triplett,77,55.65,64,115,42.0
31,32,32,Ken Duke,112,55.56,95,171,52.0
32,33,33,Craig Lile,77,55.45,56,101,36.0
33,34,34,Bob Heintz,85,55.3,73,132,52.0
34,35,35,Brian Gay,107,55.29,94,170,60.0
35,36,36,Ryuji Imada,104,55.09,92,167,58.0
36,37,37,Gavin Coles,87,55.08,65,118,55.0
37,38,38,Arron Oberholser,69,55.05,60,109,33.0
38,39,39,Jason Gore,86,54.93,78,142,41.0
39,40,40,Mark Wilson,87,54.84,68,124,46.0
40,41,41,Paul Gow,70,54.81,57,104,37.0
41,42,42,Justin Leonard,95,54.47,67,123,49.0
42,43,43,Tom Pernice Jr.,104,54.4,99,182,71.0
43,44,44,Jason Dufner,100,54.3,82,151,42.0
44,45,45,Bryce Molder,56,53.93,48,89,37.0
45,46,46,Cliff Kresge,107,53.89,97,180,60.0
46,47,47,Vaughn Taylor,91,53.79,71,132,40.0
47,48,48,Briny Baird,115,53.74,79,147,31.0
48,49,49,Shigeki Maruyama,84,53.73,72,134,46.0
49,50,50,Nathan Green,103,53.5,107,200,69.0
50,51,51,Tom Lehman,62,53.49,46,86,26.0
51,52,52,Brian Davis,101,53.42,78,146,51.0
52,53,53,Vijay Singh,102,53.33,104,195,48.0
53,54,54,Brandt Snedeker,105,53.25,90,169,59.0
54,55,55,Scott Verplank,82,53.24,74,139,50.0
55,56,56,Sergio Garcia,68,53.06,52,98,26.0
56,57,57,Ian Poulter,63,53.03,70,132,40.0
57,58,58,Billy Mayfair,98,52.9,82,155,42.0
58,59,59,Craig Kanada,109,52.83,84,159,58.0
59,60,60,Bubba Watson,80,52.82,75,142,41.0
60,61,61,Rory Sabbatini,81,52.71,68,129,42.0
61,62,62,Stephen Ames,81,52.54,62,118,42.0
62,63,63,Jeff Overton,60,52.38,44,84,15.0
63,64,64,Trevor Immelman,74,52.17,48,92,34.0
64,65,65,Ernie Els,59,52.14,61,117,40.0
65,66,66,Adam Scott,69,52.03,64,123,41.0
66,67,67,Tiger Woods,63,52.0,52,100,27.0
67,68,68,Sean O'Hair,98,51.97,79,152,47.0
68,69,69,Michael Sim,52,51.92,27,52,16.0
69,70,70,Paul Stankowski,52,51.76,44,85,23.0
70,71,71,Jason Schultz,63,51.69,46,89,21.0
71,72,72,Mark Brooks,53,51.61,32,62,29.0
72,T73,T73,Paul Goydos,60,51.56,66,128,50.0
73,T73,T73,Tripp Isenhour,86,51.56,66,128,47.0
74,75,75,Jeff Maggert,79,51.43,54,105,43.0
75,76,76,Bubba Dickerson,51,51.28,40,78,27.0
76,T77,T77,Pat Perez,84,51.2,64,125,43.0
77,T77,T77,Brett Wetterich,88,51.2,64,125,32.0
78,79,79,Steve Marino,106,51.18,87,170,58.0
79,80,80,Jason Bohn,57,51.06,48,94,37.0
80,81,81,Freddie Jacobson,70,50.96,53,104,38.0
81,82,82,Jim Furyk,84,50.94,54,106,32.0
82,83,83,Phil Mickelson,73,50.91,56,110,30.0
83,84,84,Dean Wilson,92,50.83,61,120,44.0
84,T85,T85,Carl Pettersson,111,50.77,99,195,71.0
