,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,Craig Barlow,43,"111' 5""",Buick Open,4,1
1,2,2,Kevin Streelman,114,"84' 0""",AT&T National,4,6
2,3,3,Harrison Frazar,73,"79' 4""",Turning Stone Resort Championship,1,16
3,4,4,Michael Bradley,40,"77' 11""",Turning Stone Resort Championship,4,16
4,5,5,J.T. Kohut,6,"77' 8""",John Deere Classic,2,9
5,6,6,Scott Sterling,89,"77' 0""",Frys.com Open,2,17
6,7,7,Justin Rose,46,"76' 11""",The Honda Classic,4,7
7,8,8,Ben Crane,86,"76' 2""",FBR Open,3,12
8,9,9,Grégory Havret,8,"76' 1""",World Golf Championships-CA Championship,1,3
9,10,10,Cliff Kresge,84,"75' 2""",The Honda Classic,3,12
10,11,11,Cameron Beckman,87,"75' 0""",Ginn sur Mer Classic,1,5
11,12,12,Tom Byrum,36,"74' 11""",AT&T Classic,3,11
12,13,13,Mathias Grönberg,87,"73' 7""",Zurich Classic of New Orleans,4,6
13,14,14,Nick Flanagan,89,"72' 0""",RBC Canadian Open,3,4
14,15,15,Steve Allan,58,"71' 1""",Turning Stone Resort Championship,1,15
15,T16,16,Michael Allen,91,"70' 8""",The Barclays,4,6
16,T16,17,Carlos Franco,73,"70' 8""",Turning Stone Resort Championship,1,6
17,18,18,Ryan Armour,87,"69' 11""",AT&T National,2,6
18,19,19,Stuart Deane,6,"69' 4""",EDS Byron Nelson Championship,2,3
19,20,20,James Driscoll,85,"68' 7""",AT&T National,3,2
20,21,21,Brad Adamonis,87,"68' 3""",Wachovia Championship,1,18
21,22,6,Scott Sterling,89,"68' 2""",Viking Classic,1,9
22,23,23,John Senden,93,"67' 7""",Zurich Classic of New Orleans,4,17
23,24,24,Rory Sabbatini,77,"67' 2""",Mercedes-Benz Championship,4,13
24,T25,25,Matt Kuchar,88,"66' 9""",Deutsche Bank Championship,2,5
25,T25,14,Nick Flanagan,89,"66' 9""",Turning Stone Resort Championship,1,17
26,27,27,Robert Garrigus,90,"66' 8""",Crowne Plaza Invitational at Colonial,2,4
27,28,28,Steve Flesch,95,"66' 5""",RBC Canadian Open,3,18
28,29,29,Marc Turnesa,87,"66' 4""",Buick Invitational,4,12
29,30,30,Jonathan Byrd,88,"66' 1""",Legends Reno-Tahoe Open,1,16
30,T31,24,Rory Sabbatini,77,"65' 10""",Buick Invitational,4,7
31,T31,32,Bo Van Pelt,101,"65' 10""",Crowne Plaza Invitational at Colonial,4,14
32,33,33,Arron Oberholser,33,"65' 1""",Frys.com Open,2,5
33,34,34,Chris Stroud,81,"64' 9""",Verizon Heritage,2,17
34,35,35,Brian Davis,108,"64' 8""",Ginn sur Mer Classic,2,1
35,36,36,Kevin Sutherland,98,"64' 7""",Crowne Plaza Invitational at Colonial,2,9
36,37,37,Dean Wilson,109,"64' 2""",BMW Championship,3,15
37,38,38,Bill Haas,99,"64' 0""",Wyndham Championship,1,15
38,39,39,Paul Stankowski,38,"63' 11""",Wyndham Championship,1,15
39,40,40,Ryuji Imada,80,"63' 5""",Bob Hope Chrysler Classic,5,2
40,41,20,James Driscoll,85,"63' 2""",Verizon Heritage,1,9
41,42,42,Jerry Kelly,89,"63' 1""",Wyndham Championship,2,15
42,43,43,Dan Forsman,36,"63' 0""",Buick Open,2,3
43,T44,45,Billy Andrade,71,"62' 10""",Ginn sur Mer Classic,1,10
44,T44,44,Boo Weekley,86,"62' 10""",THE PLAYERS Championship,2,13
45,46,46,Chad Campbell,94,"62' 1""",Shell Houston Open,3,6
46,47,24,Rory Sabbatini,77,"61' 10""",Buick Invitational,2,18
47,48,27,Robert Garrigus,90,"61' 9""",Frys.com Open,4,10
48,T49,49,Brian Gay,102,"61' 8""",Crowne Plaza Invitational at Colonial,2,7
49,T49,50,Peter Lonard,92,"61' 8""",Turning Stone Resort Championship,2,15
50,T51,28,Steve Flesch,95,"61' 6""",Children's Miracle Network Classic presented by Wal-Mart,4,4
51,T51,40,Ryuji Imada,80,"61' 6""",Wachovia Championship,2,6
52,53,53,Joe Ogilvie,100,"61' 5""",Mercedes-Benz Championship,1,17
53,54,24,Rory Sabbatini,77,"61' 4""",Mercedes-Benz Championship,1,6
54,55,55,Scott McCarron,63,"61' 3""",Legends Reno-Tahoe Open,2,12
55,56,44,Boo Weekley,86,"61' 2""",The Honda Classic,2,6
56,57,38,Bill Haas,99,"61' 1""",Arnold Palmer Invitational presented by MasterCard,1,2
57,T58,58,Charlie Wi,97,"60' 7""",Northern Trust Open,3,11
58,T58,59,Stewart Cink,87,"60' 7""",PODS Championship,1,14
59,T58,61,George McNeill,97,"60' 7""",the Memorial Tournament presented by Morgan Stanley,1,15
60,T58,60,Andres Romero,69,"60' 7""",Zurich Classic of New Orleans,2,15
61,T62,46,Chad Campbell,94,"60' 4""",Bob Hope Chrysler Classic,5,8
62,T62,63,Retief Goosen,59,"60' 4""",THE PLAYERS Championship,4,15
63,64,16,Michael Allen,91,"60' 3""",THE PLAYERS Championship,1,13
64,T65,66,Bob Estes,90,"60' 1""",RBC Canadian Open,3,18
65,T65,67,Vijay Singh,82,"60' 1""",Deutsche Bank Championship,4,14
66,T65,65,Kiyoshi Miyazato,4,"60' 1""",Sony Open in Hawaii,1,17
67,68,68,Kevin Na,97,"60' 0""",FBR Open,4,6
68,69,69,Nathan Green,95,"59' 11""",Northern Trust Open,4,2
69,70,70,Shaun Micheel,45,"59' 10""",the Memorial Tournament presented by Morgan Stanley,4,10
70,T71,71,Bernhard Langer,6,"59' 9""",THE PLAYERS Championship,2,17
71,T71,72,Charley Hoffman,94,"59' 9""",The Barclays,4,8
72,T73,70,Shaun Micheel,45,"59' 7""",Shell Houston Open,4,18
73,T73,46,Chad Campbell,94,"59' 7""",Travelers Championship,3,8
74,T73,75,Pat Perez,93,"59' 7""",Valero Texas Open,2,4
