,Non-member_Earnings_RANK THIS WEEK,Non-member_Earnings_RANK LAST WEEK,Non-member_Earnings_PLAYER NAME,Non-member_Earnings_EVENTS,Non-member_Earnings_MONEY,Non-member_Earnings_TOTAL
0,1,1,Henrik Stenson,9,"$1,238,118","$1,937,993"
1,2,2,Robert Karlsson,8,"$812,185","$985,685"
2,3,3,Miguel Angel Jiménez,8,"$486,446","$725,946"
3,4,4,Jeev Milkha Singh,5,"$252,849","$319,349"
4,5,5,Niclas Fasth,10,"$210,565","$391,690"
5,6,6,Alastair Forsyth,2,"$194,416","$194,416"
6,7,7,David Howell,3,"$193,743","$226,243"
7,8,8,Graeme McDowell,4,"$182,545","$269,545"
8,9,9,Casey Wittenberg,4,"$167,520","$167,520"
9,10,10,WC Liang,6,"$146,728","$184,353"
10,11,11,Richard Sterne,8,"$137,419","$226,294"
11,12,12,D.A. Points,3,"$126,918","$126,918"
12,13,13,Esteban Toledo,3,"$111,305","$111,305"
13,14,14,Prayad Marksaeng,4,"$107,060","$141,560"
14,15,15,Anders Hansen,6,"$105,725","$251,891"
15,16,16,Richard Green,9,"$92,960","$224,310"
16,T17,T17,Grégory Havret,2,"$75,485","$162,185"
17,T17,T17,Alex Noren,1,"$75,485","$75,485"
18,T17,T17,Jean Van de Velde,1,"$75,485","$75,485"
19,T17,T17,Simon Wakefield,1,"$75,485","$75,485"
20,T17,T17,Paul Waring,1,"$75,485","$75,485"
21,22,22,Soren Hansen,9,"$70,466","$179,966"
22,23,23,Pablo Martin Benavides,3,"$60,143","$60,143"
23,24,24,Nick Dougherty,8,"$60,062","$183,062"
24,25,25,Mark Brown,3,"$57,000","$123,750"
25,26,26,Ryan Blaum,1,"$54,250","$54,250"
26,27,27,Michael Campbell,6,"$48,054","$48,054"
27,28,28,Rob Grube,1,"$48,000","$48,000"
28,29,29,Chip Sullivan,6,"$45,559","$45,559"
29,30,30,Alvaro Quiros,2,"$45,066","$45,066"
30,31,31,Tom Gillis,3,"$38,915","$38,915"
31,32,32,Webb Simpson,6,"$38,460","$38,460"
32,33,33,Chris Kirk,3,"$37,724","$37,724"
33,34,34,Martin Kaymer,8,"$37,638","$154,388"
34,35,35,Peter Hanson,4,"$37,534","$117,784"
35,T36,T36,Robert Dinwiddie,1,"$35,709","$35,709"
36,T36,T36,Oliver Wilson,4,"$35,709","$95,709"
37,T38,T38,Thomas Aiken,1,"$33,267","$33,267"
38,T38,T38,Grégory Bourdy,1,"$33,267","$33,267"
39,T38,T38,Ariel Cañete,1,"$33,267","$33,267"
40,T38,T38,Ross Fisher,6,"$33,267","$130,767"
41,T38,T38,Simon Khan,1,"$33,267","$33,267"
42,T38,T38,Graeme Storm,3,"$33,267","$231,600"
43,44,44,Michael Thompson,4,"$32,625","$32,625"
