,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Rory McIlroy,66,26.22,302,1152,6
1,2,2,Adam Scott,68,24.18,296,1224,10
2,3,3,Jimmy Walker,98,23.5,406,1728,28
3,4,4,Dustin Johnson,58,23.39,240,1026,21
4,5,5,Charl Schwartzel,64,22.85,255,1116,126
5,6,6,Bubba Watson,76,22.83,300,1314,24
6,7,7,Ryan Palmer,85,22.68,347,1530,46
7,8,8,Henrik Stenson,56,22.33,217,972,8
8,9,9,Jordan Spieth,102,22.28,393,1764,152
9,T10,T10,Ryo Ishikawa,75,22.15,299,1350,92
10,T10,T10,Hideki Matsuyama,82,22.15,319,1440,116
11,12,12,Brooks Koepka,56,22.02,222,1008,90
12,13,13,Robert Garrigus,80,22.01,317,1440,84
13,14,14,Charley Hoffman,93,21.98,368,1674,35
14,15,15,Sergio Garcia,61,21.93,229,1044,14
15,16,16,Justin Rose,70,21.9,268,1224,41
16,17,17,Rickie Fowler,91,21.83,334,1530,100
17,18,18,Chris Stroud,88,21.72,344,1584,80
18,19,19,Jason Kokrak,65,21.71,254,1170,74
19,20,20,Ryan Moore,86,21.69,328,1512,23
20,21,21,Harris English,95,21.68,359,1656,17
21,22,22,Kevin Chappell,100,21.64,374,1728,28
22,T23,T23,Keegan Bradley,89,21.59,342,1584,46
23,T23,T23,Matt Kuchar,91,21.59,342,1584,40
24,25,25,Graham DeLaet,80,21.38,304,1422,3
25,26,26,Paul Casey,56,21.33,215,1008,65
26,27,27,George McNeill,79,21.24,302,1422,61
27,28,28,Webb Simpson,87,21.23,321,1512,77
28,29,29,Phil Mickelson,71,21.13,270,1278,79
29,30,30,Kevin Na,94,21.1,357,1692,98
30,T31,T31,Morgan Hoffmann,103,21.04,375,1782,147
31,T31,T31,Andrew Loupe,65,21.04,231,1098,141
32,33,33,Lee Westwood,57,21.03,212,1008,123
33,34,34,Charles Howell III,106,21.02,401,1908,26
34,35,35,Martin Kaymer,65,21.01,242,1152,99
35,36,36,Wes Roach,67,20.99,238,1134,112
36,37,37,Sangmoon Bae,76,20.98,287,1368,146
37,T38,T38,Chris Kirk,105,20.94,392,1872,129
38,T38,T38,Camilo Villegas,95,20.94,358,1710,39
39,40,40,Robert Streb,75,20.89,267,1278,69
40,41,41,Brian Stuard,91,20.88,327,1566,122
41,42,42,J.B. Holmes,86,20.87,323,1548,163
42,43,43,Danny Lee,84,20.83,300,1440,104
43,T44,T44,Billy Horschel,92,20.8,337,1620,4
44,T44,T44,Will MacKenzie,82,20.8,307,1476,70
45,T46,T46,Jason Dufner,57,20.78,202,972,59
46,T46,T46,Luke Guthrie,85,20.78,318,1530,126
47,T48,T48,Ángel Cabrera,69,20.77,258,1242,90
48,T48,T48,Gary Woodland,93,20.77,344,1656,51
49,50,50,Kevin Stadler,90,20.72,332,1602,9
50,51,51,Brendan Steele,89,20.65,316,1530,53
51,52,52,Graeme McDowell,66,20.61,230,1116,65
52,T53,T53,Chesson Hadley,84,20.57,311,1512,143
53,T53,T53,Michael Thompson,74,20.57,274,1332,68
54,55,55,Jerry Kelly,80,20.56,296,1440,71
55,T56,T56,Jeff Overton,80,20.54,281,1368,64
56,T56,T56,Ian Poulter,57,20.54,207,1008,153
57,58,58,Matt Every,85,20.52,314,1530,134
58,59,59,Kevin Streelman,79,20.51,288,1404,137
59,60,60,Marc Leishman,81,20.49,295,1440,80
60,61,61,Scott Brown,100,20.44,368,1800,89
61,62,62,Zach Johnson,97,20.43,353,1728,31
62,63,63,Kevin Kisner,85,20.39,312,1530,76
63,64,64,Andres Romero,81,20.27,281,1386,168
64,65,65,Bill Haas,107,20.26,383,1890,15
65,T66,T66,Stuart Appleby,92,20.25,328,1620,145
66,T66,T66,Patrick Reed,92,20.25,328,1620,124
67,68,68,Rory Sabbatini,82,20.23,284,1404,74
68,69,69,Brian Harman,111,20.17,403,1998,111
