,Non-member_Earnings_RANK THIS WEEK,Non-member_Earnings_RANK LAST WEEK,Non-member_Earnings_PLAYER NAME,Non-member_Earnings_EVENTS,Non-member_Earnings_MONEY,Non-member_Earnings_TOTAL
0,1,1,Branden Grace,13,"$1,471,160","$1,761,660"
1,2,2,Patrick Rodgers,17,"$1,038,291","$1,038,291"
2,3,3,Cameron Smith,13,"$976,297","$976,297"
3,4,4,Austin Cook,7,"$537,648","$537,648"
4,5,5,Anirban Lahiri,12,"$490,003","$712,794"
5,6,6,Danny Willett,10,"$408,435","$1,265,935"
6,7,7,Emiliano Grillo,5,"$348,407","$348,407"
7,8,8,George Coetzee,7,"$338,872","$532,695"
8,9,9,Joost Luiten,13,"$235,074","$503,397"
9,10,10,Kiradech Aphibarnrat,4,"$229,250","$229,250"
10,T11,T11,Prom Meesawat,1,"$189,000","$189,000"
11,T11,T11,Angelo Que,1,"$189,000","$189,000"
12,13,13,Andy Sullivan,6,"$179,325","$242,825"
13,14,14,Peter Uihlein,4,"$165,333","$165,333"
14,15,15,Marc Warren,9,"$163,922","$461,088"
15,16,16,Anthony Wall,1,"$162,107","$162,107"
16,17,17,Ollie Schniederjans,7,"$160,107","$160,107"
17,18,18,Bernd Wiesberger,11,"$155,149","$365,315"
18,19,19,Thomas Aiken,4,"$153,350","$236,350"
19,20,20,Jamie Lovemark,2,"$146,138","$146,138"
20,21,21,Rafa Cabrera Bello,4,"$129,450","$129,450"
21,22,22,Mark Anderson,7,"$129,215","$129,215"
22,23,23,Marcel Siem,8,"$120,950","$298,750"
23,24,24,Marcus Fraser,2,"$119,760","$119,760"
24,25,25,James Morrison,2,"$113,238","$113,238"
25,26,26,Garrett Osborn,4,"$100,000","$100,000"
26,27,27,Hiroshi Iwata,4,"$97,667","$479,333"
27,28,28,Cory Whitsett,2,"$78,544","$78,544"
28,29,29,Alexander Levy,8,"$77,658","$282,375"
29,30,30,Brandon Hagy,8,"$77,111","$77,111"
30,31,31,Tyrrell Hatton,2,"$74,600","$74,600"
31,32,32,Stephen Gallacher,11,"$67,790","$281,549"
32,33,33,C.T. Pan,2,"$65,056","$65,056"
33,T34,T34,Tommy Fleetwood,7,"$64,126","$465,251"
34,T34,T34,Jimmy Gunn,1,"$64,126","$64,126"
35,36,36,Byeong Hun An,5,"$63,450","$109,200"
36,37,37,Martin Piller,1,"$47,250","$47,250"
37,38,38,Thongchai Jaidee,10,"$46,955","$255,455"
38,T39,T39,Scott Arnold,1,"$43,480","$43,480"
39,T39,T39,Paul Lawrie,1,"$43,480","$43,480"
40,41,41,D.H. Lee,2,"$38,985","$38,985"
41,42,42,David Lipsky,5,"$38,264","$170,014"
42,43,43,Brad Fritsch,3,"$37,090","$37,090"
43,44,44,Andy Pope,2,"$34,524","$34,524"
44,45,45,Cody Gribble,4,"$34,229","$34,229"
45,46,46,Cameron Wilson,3,"$33,300","$33,300"
46,47,47,Hyung-Sung Kim,2,"$33,280","$76,530"
47,48,48,Jason Allred,3,"$32,683","$32,683"
48,49,49,Wes Homan,4,"$31,789","$31,789"
