,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Justin Rose,18,67,34,33
1,2,2,Tommy Fleetwood,19,72,23,49
2,3,3,Gary Woodland,27,73,7,66
3,4,4,Keegan Bradley,27,80,65,15
4,T5,T5,Francesco Molinari,20,98,52,46
5,T5,T5,Hudson Swafford,22,98,41,57
6,7,7,Bronson Burgoon,24,99,41,58
7,8,8,Rickie Fowler,20,101,61,40
8,9,9,Kyle Stanley,26,105,98,7
9,T10,T10,Paul Casey,20,109,31,78
10,T10,T10,Sam Ryder,26,109,87,22
11,12,12,Louis Oosthuizen,17,112,61,51
12,13,13,Aaron Wise,29,113,40,73
13,T14,T14,Emiliano Grillo,25,114,106,8
14,T14,T14,J.J. Spaun,27,114,82,32
15,16,16,Corey Conners,28,115,36,79
16,T17,T17,Bryson DeChambeau,26,117,25,92
17,T17,T17,Billy Horschel,27,117,100,17
18,T17,T17,Adam Scott,21,117,29,88
19,T17,T17,Xinjun Zhang,28,117,77,40
20,21,21,Kevin Chappell,23,118,17,101
21,22,22,Kevin Streelman,27,119,107,12
22,23,23,Brendan Steele,22,121,12,109
23,24,24,Rafa Cabrera Bello,20,123,107,16
24,25,25,Joel Dahmen,28,126,97,29
25,26,26,Scott Piercy,26,128,92,36
26,27,27,Lucas Glover,18,129,85,44
27,28,28,Dustin Johnson,20,131,6,125
28,29,29,Hideki Matsuyama,21,132,49,83
29,30,30,Russell Henley,23,134,125,9
30,31,31,Byeong Hun An,24,135,19,116
31,T32,T32,Patrick Cantlay,23,136,38,98
32,T32,T32,Hunter Mahan,21,136,90,46
33,T34,T34,Tyler Duncan,31,137,112,25
34,T34,T34,Patrick Rodgers,30,137,34,103
35,36,36,C.T. Pan,30,139,126,13
36,37,37,Henrik Stenson,16,140,139,1
37,T38,T38,Daniel Berger,23,141,85,56
38,T38,T38,Charles Howell III,28,141,54,87
39,40,40,James Hahn,26,142,77,65
40,T41,T41,Branden Grace,18,145,74,71
41,T41,T41,Keith Mitchell,29,145,10,135
42,T41,T41,Jon Rahm,20,145,16,129
43,44,44,Ian Poulter,20,146,118,28
44,T45,T45,Martin Laird,22,147,71,76
45,T45,T45,Michael Thompson,19,147,93,54
46,T47,T47,Justin Thomas,23,149,11,138
47,T47,T47,Harold Varner III,27,149,18,131
48,49,49,Brice Garnett,30,150,91,59
49,50,50,Bubba Watson,24,151,9,142
50,T51,T51,Kiradech Aphibarnrat,14,152,110,42
51,T51,T51,Xander Schauffele,27,152,28,124
52,T53,T53,Austin Cook,29,154,130,24
53,T53,T53,Brian Harman,25,154,133,21
54,T55,T55,Jason Day,20,155,14,141
55,T55,T55,Russell Knox,27,155,137,18
56,T55,T55,J.T. Poston,22,155,55,100
57,58,58,Matt Jones,23,156,30,126
58,T59,T59,Satoshi Kodaira,18,157,118,39
59,T59,T59,Shane Lowry,19,157,55,102
60,T59,T59,Ryan Palmer,22,157,27,130
61,62,62,Jason Kokrak,29,158,15,143
62,T63,T63,Sam Saunders,26,159,41,118
63,T63,T63,Tiger Woods,18,159,32,127
64,65,65,Jordan Spieth,23,160,61,99
65,66,66,Jason Dufner,22,162,88,74
66,T67,T67,Blayne Barber,22,163,110,53
67,T67,T67,Brooks Koepka,17,163,8,155
68,T67,T67,Sean O'Hair,22,163,44,119
69,70,70,Rory McIlroy,18,164,1,163
70,71,71,Abraham Ancer,30,165,96,69
71,T72,T72,J.J. Henry,28,166,135,31
72,T72,T72,Alex Noren,18,166,69,97
73,T74,T74,Beau Hossler,28,167,58,109
74,T74,T74,Ryan Moore,22,167,163,4
75,T74,T74,Cameron Percy,16,167,99,68
76,T77,T77,Graeme McDowell,20,171,121,50
77,T77,T77,Adam Schenk,28,171,26,145
78,T79,T79,Tyrrell Hatton,16,172,76,96
79,T79,T79,Denny McCarthy,22,172,100,72
80,81,81,J.B. Holmes,24,174,24,150
81,T82,T82,Kevin Kisner,25,176,146,30
82,T82,T82,Chez Reavie,28,176,173,3
83,T82,T82,Conrad Shindler,20,176,141,35
84,T82,T82,Jhonattan Vegas,27,176,32,144
85,T86,T86,Trey Mullinax,24,177,2,175
86,T86,T86,Steve Wheatcroft,20,177,166,11
87,T88,T88,Tony Finau,28,178,4,174
88,T88,T88,Robert Garrigus,27,178,19,159
89,T90,T90,Harris English,31,179,47,132
90,T90,T90,Chesson Hadley,30,179,58,121
91,T90,T90,Richy Werenski,32,179,135,44
92,T93,T93,Troy Merritt,27,181,100,81
93,T93,T93,Nick Watney,26,181,21,160
94,95,95,Tom Lovelady,28,183,3,180
95,96,96,Grayson Murray,22,184,22,162
96,97,97,Ethan Tracy,23,186,71,115
97,T98,T98,Ryan Armour,32,187,185,2
98,T98,T98,Luke List,29,187,5,182
99,T98,T98,Pat Perez,23,187,144,43
100,T101,T101,Fabián Gómez,28,190,142,48
101,T101,T101,Jamie Lovemark,26,190,37,153
102,T101,T101,Ben Silverman,28,190,152,38
103,104,104,Brian Gay,30,192,186,6
104,105,105,David Lingmerth,26,194,180,14
105,T106,T106,Adam Hadwin,25,196,159,37
106,T106,T106,Vaughn Taylor,25,196,176,20
107,T108,T108,Matt Atkins,21,197,50,147
108,T108,T108,Marc Leishman,25,197,80,117
109,110,110,Brian Stuard,32,198,193,5
110,111,111,Alex Cejka,24,199,172,27
111,112,112,Jim Furyk,15,200,190,10
112,T113,T113,Kelly Kraft,31,201,167,34
113,T113,T113,"Ted Potter, Jr.",28,201,178,23
114,T115,T115,Stephan Jaeger,26,203,69,134
115,T115,T115,Kevin Tway,31,203,13,190
116,T117,T117,Bud Cauley,17,206,100,106
117,T117,T117,Brandt Snedeker,25,206,122,84
118,T119,T119,Ben Crane,21,207,188,19
119,T119,T119,Charley Hoffman,25,207,67,140
120,T119,T119,Webb Simpson,26,207,117,90
121,T122,T122,David Hearn,21,209,183,26
122,T122,T122,Chris Kirk,29,209,154,55
123,124,124,Lanto Griffin,26,215,46,169
124,T125,T125,Brandon Harkins,30,216,38,178
125,T125,T125,Seamus Power,28,216,45,171
126,127,127,Zach Johnson,25,217,154,63
127,T128,T128,Cody Gribble,25,219,52,167
128,T128,T128,Kevin Na,26,219,157,62
129,130,130,Scott Stallings,30,221,64,157
130,131,131,Talor Gooch,27,222,74,148
131,T132,T132,Scott Brown,32,223,128,95
132,T132,T132,Nate Lashley,17,223,115,108
133,T132,T132,Shawn Stefani,25,223,65,158
134,T135,T135,Andrew Landry,27,224,142,82
135,T135,T135,Rory Sabbatini,27,224,130,94
136,T137,T137,Ryan Blaum,28,225,165,60
137,T137,T137,Chad Campbell,28,225,173,52
138,139,139,Ben Martin,20,227,157,70
139,T140,T140,Stewart Cink,25,229,83,146
140,T140,T140,Tom Hoge,31,229,140,89
141,T140,T140,Andrew Putnam,28,229,116,113
142,T143,T143,Mackenzie Hughes,28,231,109,122
