,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,,Zac Blair,105,"12' 10""",3109.75,243,68,"4"""
1,T2,,Michael Thompson,60,"12' 6""",1599.0829999999999,128,53,"1"""
2,T2,,Steve Wheatcroft,51,"12' 6""",1486.0,119,57,"6"""
3,4,,Bryce Molder,74,"11' 6""",2040.0829999999999,178,56,"3"""
4,5,,Steven Bowditch,59,"11' 5""",1129.083,99,62,"4"""
5,6,,Blayne Barber,77,"11' 4""",2714.833,240,51,"2"""
6,T7,,Billy Horschel,88,"11' 3""",2917.833,260,73,"2"""
7,T7,,Kyle Reifers,96,"11' 3""",2245.083,199,80,"3"""
8,T9,,Nicholas Lindheim,58,"11' 2""",1631.9170000000001,146,63,"9"""
9,T9,,Peter Malnati,91,"11' 2""",2714.167,243,62,"6"""
10,T11,,Ryan Armour,63,"11' 0""",1660.25,151,45,"9"""
11,T11,,Russell Henley,99,"11' 0""",3352.167,304,56,"3"""
12,T11,,Billy Hurley III,80,"11' 0""",2529.5,230,85,"3"""
13,T14,,Cody Gribble,79,"10' 11""",2532.167,232,44,"2"""
14,T14,,John Huh,92,"10' 11""",2529.583,231,71,"7"""
15,T14,,Whee Kim,74,"10' 11""",1920.9170000000001,176,46,"6"""
16,T17,,Jonas Blixt,74,"10' 10""",1997.6670000000001,184,55,"8"""
17,T17,,Luke Donald,50,"10' 10""",1341.75,124,47,"11"""
18,T17,,Martin Flores,88,"10' 10""",2273.25,210,58,"6"""
19,T17,,Jim Furyk,54,"10' 10""",1263.667,117,38,"5"""
20,T17,,Brian Gay,82,"10' 10""",2364.75,219,50,"5"""
21,T17,,Graeme McDowell,56,"10' 10""",1765.0,163,50,"4"""
22,T17,,Patrick Rodgers,76,"10' 10""",2105.5,195,60,"3"""
23,T24,,Mark Hubbard,81,"10' 9""",1824.5,170,53,"10"""
24,T24,,D.A. Points,68,"10' 9""",1910.1670000000001,178,50,"3"""
25,T26,,Brett Drewitt,57,"10' 8""",1378.3329999999999,129,47,"2"""
26,T26,,Kevin Na,86,"10' 8""",2471.75,232,63,"3"""
27,T26,,Johnson Wagner,71,"10' 8""",1849.0,174,41,"4"""
28,T29,,Sebastián Muñoz,51,"10' 7""",1490.5,141,44,"5"""
29,T29,,Tag Ridings,67,"10' 7""",1872.0829999999999,177,53,"1"""
30,T29,,Camilo Villegas,76,"10' 7""",2282.417,216,67,"4"""
31,T32,,Ben Crane,86,"10' 6""",2187.333,208,57,"4"""
32,T32,,Kevin Kisner,105,"10' 6""",2617.333,250,48,"2"""
33,T32,,Brian Stuard,93,"10' 6""",2186.917,209,41,"1"""
34,T35,,Alex Cejka,85,"10' 5""",1872.4170000000001,180,62,"4"""
35,T35,,Mackenzie Hughes,106,"10' 5""",3475.833,335,57,"3"""
36,T35,,Louis Oosthuizen,69,"10' 5""",1620.25,155,58,"4"""
37,T35,,Shawn Stefani,72,"10' 5""",1869.0829999999999,180,57,"7"""
38,T39,,Jason Bohn,75,"10' 4""",1659.5829999999999,161,42,"1"""
39,T39,,Graham DeLaet,82,"10' 4""",2520.0,243,48,"1"""
40,T39,,Zach Johnson,81,"10' 4""",2291.333,222,40,"5"""
41,T39,,Chez Reavie,98,"10' 4""",2742.0,266,40,"4"""
42,T39,,Nick Watney,75,"10' 4""",1991.6670000000001,192,62,"3"""
43,T44,,Greg Chalmers,75,"10' 3""",2137.583,209,57,"3"""
44,T44,,Stewart Cink,93,"10' 3""",2938.083,286,47,"2"""
45,T44,,Morgan Hoffmann,92,"10' 3""",2839.75,277,60,"2"""
46,T47,,Scott Brown,95,"10' 2""",2574.333,253,46,"4"""
47,T47,,K.J. Choi,72,"10' 2""",1700.1670000000001,167,42,"3"""
48,T47,,Emiliano Grillo,90,"10' 2""",2100.75,206,48,"5"""
49,T47,,Martin Laird,83,"10' 2""",2264.5,223,68,"1"""
50,T47,,David Lingmerth,79,"10' 2""",2278.667,225,77,"5"""
51,T47,,Geoff Ogilvy,80,"10' 2""",2037.0,200,43,"2"""
52,T47,,J.J. Spaun,92,"10' 2""",2279.833,225,69,"1"""
53,T47,,Brett Stegmaier,78,"10' 2""",1755.3329999999999,172,73,"1"""
54,T55,,Adam Hadwin,98,"10' 1""",2627.417,261,56,"3"""
55,T55,,Matt Jones,64,"10' 1""",1676.3329999999999,166,59,"2"""
56,T55,,Shane Lowry,52,"10' 1""",1354.6670000000001,134,58,"2"""
57,T55,,Xander Schauffele,96,"10' 1""",2560.75,254,45,"2"""
58,T55,,Robert Streb,98,"10' 1""",2802.25,278,95,"2"""
59,T60,,Ryan Blaum,100,"10' 0""",2763.5,277,48,"2"""
60,T60,,Chad Campbell,97,"10' 0""",2657.75,265,46,"2"""
61,T60,,Patrick Cantlay,52,"10' 0""",1640.4170000000001,164,44,"1"""
62,T60,,Harris English,84,"10' 0""",2224.917,223,69,"2"""
63,T60,,Brian Harman,104,"10' 0""",2788.417,280,37,"4"""
64,T60,,Tom Hoge,54,"10' 0""",1394.5,140,45,"5"""
