,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,Ángel Cabrera,50,"103' 5""",Waste Management Phoenix Open,4,17
1,2,2,Alex Cejka,59,"96' 2""",Northern Trust Open,1,9
2,3,3,Charles Howell III,108,"88' 5""",BMW Championship,4,12
3,4,4,Mike Weir,34,"85' 2""",Crowne Plaza Invitational at Colonial,2,13
4,5,5,Ben Martin,74,"83' 2""",The McGladrey Classic,2,15
5,6,6,J.B. Holmes,57,"79' 4""",Waste Management Phoenix Open,4,12
6,7,7,Tag Ridings,87,"77' 2""",Valero Texas Open,3,8
7,8,8,Jonathan Byrd,83,"76' 2""",Waste Management Phoenix Open,2,8
8,9,9,Arjun Atwal,91,"76' 1""",The Greenbrier Classic,2,11
9,10,10,Andrew McLardy,2,"76' 0""",FedEx St. Jude Classic,2,17
10,11,11,Troy Matteson,91,"75' 10""",THE PLAYERS Championship,2,18
11,12,12,Scott Piercy,78,"75' 8""",Viking Classic,3,18
12,13,13,Steve Stricker,70,"75' 5""",John Deere Classic,3,1
13,14,14,Troy Merritt,63,"74' 7""",Shell Houston Open,4,13
14,15,15,Anthony Kim,72,"73' 8""",The Honda Classic,1,12
15,16,16,Fabián Gómez,84,"73' 4""",Zurich Classic of New Orleans,3,12
16,17,17,Josh Teater,104,"72' 11""",Zurich Classic of New Orleans,2,3
17,18,18,Brendon de Jonge,105,"70' 8""",Sony Open in Hawaii,1,1
18,19,19,James Driscoll,71,"70' 5""",AT&T Pebble Beach National Pro-Am,4,5
19,20,20,Johnson Wagner,81,"69' 11""",The Greenbrier Classic,2,10
20,21,21,Matthew Swan,2,"69' 8""",Viking Classic,2,18
21,22,22,Geoff Ogilvy,69,"69' 7""",Deutsche Bank Championship,4,3
22,23,23,Jhonattan Vegas,84,"69' 4""",Valero Texas Open,3,18
23,24,24,John Senden,94,"68' 8""",The Greenbrier Classic,3,17
24,25,25,D.A. Points,89,"68' 5""",AT&T National,4,9
25,T26,25,D.A. Points,89,"67' 9""",Waste Management Phoenix Open,4,3
26,T26,27,Will Strickler,51,"67' 9""",HP Byron Nelson Championship,4,8
27,28,28,Spencer Levin,113,"67' 7""",Children's Miracle Network Hospitals Classic,4,18
28,29,29,Alexandre Rocha,65,"67' 6""",HP Byron Nelson Championship,2,8
29,30,30,Billy Mayfair,94,"67' 3""",Viking Classic,3,18
30,31,31,Charl Schwartzel,58,"67' 1""",Arnold Palmer Invitational presented by MasterCard,3,14
31,32,28,Spencer Levin,113,"67' 0""",AT&T National,2,14
32,33,30,Billy Mayfair,94,"66' 6""",Justin Timberlake Shriners Hospitals for Children Open,3,7
33,34,34,Brandt Jobe,100,"66' 5""",Travelers Championship,2,12
34,35,35,Zack Miller,86,"65' 9""",Transitions Championship,2,3
35,36,18,Brendon de Jonge,105,"65' 8""",BMW Championship,3,15
