,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,Jordan Spieth,81,"90' 8""",Sony Open in Hawaii,2,5
1,2,2,Johan Kok,4,"86' 6""",FedEx St. Jude Classic,1,17
2,3,3,D.J. Trahan,24,"83' 10""",John Deere Classic,1,2
3,4,4,Martin Laird,73,"83' 4""",Valero Texas Open,3,8
4,5,5,Tyrone Van Aswegen,101,"77' 10""",Valspar Championship,2,17
5,6,6,Keegan Bradley,98,"77' 1""",TOUR Championship,3,13
6,7,7,Adam Scott,78,"76' 7""",Genesis Open,2,1
7,8,8,Eric Axley,22,"76' 3""",U.S. Open,1,3
8,T9,9,Rickie Fowler,74,"76' 1""",Wells Fargo Championship,4,7
9,T9,10,Richy Werenski,98,"76' 1""",THE PLAYERS Championship,1,9
10,11,11,Ryan Armour,109,"75' 10""",Shriners Hospitals for Children Open,4,16
11,12,12,Stephan Jaeger,81,"75' 0""",Wells Fargo Championship,2,7
12,13,13,Joaquin Niemann,44,"74' 4""",John Deere Classic,3,4
13,14,14,Shane Lowry,64,"73' 10""",U.S. Open,1,12
14,15,15,Luke List,98,"73' 6""",Arnold Palmer Invitational presented by Mastercard,1,1
15,16,16,Mackenzie Hughes,80,"72' 8""",THE PLAYERS Championship,3,8
16,17,17,Brandon Harkins,101,"72' 4""",CareerBuilder Challenge,3,16
17,18,18,Scott Strohmeyer,8,"72' 2""",Shriners Hospitals for Children Open,1,8
18,T19,20,Beau Hossler,104,"70' 1""",BMW Championship,1,15
19,T19,19,Austin Cook,107,"70' 1""",FedEx St. Jude Classic,4,17
20,21,21,Ethan Tracy,72,"69' 11""",John Deere Classic,1,2
21,22,22,Y.E. Yang,2,"69' 7""",PGA Championship,2,16
