,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Tiger Woods,19,38.57,"$5,687,777","$14,746,300"
1,2,2,Phil Mickelson,23,26.08,"$4,403,882","$16,888,300"
2,3,3,Niclas Fasth,3,21.85,"$610,417","$2,794,300"
3,4,4,Sergio Garcia,18,20.84,"$2,898,634","$13,908,300"
4,5,5,Davis Love III,20,20.64,"$3,169,463","$15,358,300"
5,6,6,David Duval,20,18.52,"$2,801,760","$15,124,300"
6,7,7,David Toms,28,18.18,"$3,791,595","$20,858,300"
7,8,8,Vijay Singh,26,17.27,"$3,440,828","$19,922,300"
8,9,9,Scott Hoch,24,16.31,"$2,875,319","$17,626,300"
9,10,10,Mike Weir,23,15.81,"$2,777,936","$17,572,300"
10,11,11,Ernie Els,19,15.19,"$2,336,455","$15,386,300"
11,12,12,Bob Estes,26,14.75,"$2,795,476","$18,958,300"
12,13,13,Jim Furyk,24,14.14,"$2,540,734","$17,968,300"
13,14,14,Scott Verplank,26,14.06,"$2,783,401","$19,796,300"
14,15,15,Retief Goosen,10,13.74,"$1,176,985","$8,564,300"
15,16,16,Bernhard Langer,17,13.45,"$1,810,362","$13,460,300"
16,17,17,Chad Campbell,3,13.33,"$259,200","$1,944,000"
17,18,18,Joe Durant,25,13.05,"$2,381,683","$18,246,300"
18,19,19,Toshi Izawa,5,12.51,"$519,180","$4,150,000"
19,20,20,Chris DiMarco,29,12.12,"$2,595,201","$21,406,300"
20,21,21,Mark Calcavecchia,23,11.59,"$1,991,575","$17,176,300"
21,22,22,Jaxon Brigman,1,11.39,"$61,500","$540,000"
22,23,23,Darren Clarke,7,11.01,"$705,869","$6,412,300"
23,24,24,Tom Lehman,23,10.99,"$1,907,659","$17,356,300"
24,25,25,José Coceres,19,10.87,"$1,527,888","$14,062,300"
25,26,26,Steve Stricker,20,10.86,"$1,676,228","$15,430,300"
26,27,27,Robert Allenby,29,10.62,"$2,309,028","$21,740,300"
27,28,28,Scott McCarron,25,10.44,"$1,793,506","$17,172,000"
28,29,29,Paul Azinger,20,10.38,"$1,509,130","$14,536,000"
29,30,30,Michael Allen,1,10.19,"$91,733","$900,000"
30,31,31,Brad Faxon,26,10.14,"$1,951,411","$19,246,300"
31,32,32,Charles Howell III,24,9.94,"$1,520,632","$15,300,000"
32,T33,T33,Frank Lickliter II,29,9.68,"$1,941,910","$20,064,300"
33,T33,T33,Kenny Perry,26,9.68,"$1,786,066","$18,442,000"
34,35,35,Rocco Mediate,21,9.67,"$1,474,434","$15,240,300"
35,36,36,Jeff Sluman,30,9.12,"$1,841,951","$20,206,000"
36,37,37,Hal Sutton,26,8.9,"$1,723,946","$19,370,000"
37,38,38,Pierre Fulke,8,8.73,"$604,630","$6,926,300"
38,39,39,Toru Taniguchi,9,8.68,"$587,913","$6,772,300"
39,40,40,Jesper Parnevik,25,8.65,"$1,574,207","$18,192,300"
40,T41,T41,Matt Kuchar,11,8.58,"$572,669","$6,678,000"
41,T41,T41,Billy Mayfair,29,8.58,"$1,716,002","$19,992,300"
42,43,43,Steve Lowery,28,8.52,"$1,738,819","$20,404,000"
43,44,44,Nick Price,20,8.46,"$1,286,755","$15,214,300"
44,T45,T45,Stewart Cink,29,8.13,"$1,743,028","$21,452,300"
45,T45,T45,Justin Leonard,30,8.13,"$1,783,842","$21,946,300"
46,47,47,David Gossett,15,7.73,"$748,126","$9,684,000"
47,48,48,Shigeki Maruyama,27,7.46,"$1,441,454","$19,310,300"
48,49,49,Kirk Triplett,26,7.34,"$1,388,201","$18,920,000"
49,50,50,Jerry Kelly,31,7.28,"$1,491,606","$20,496,300"
50,51,51,Kevin Sutherland,30,7.27,"$1,523,572","$20,956,300"
51,52,52,Brett Quigley,21,7.19,"$956,933","$13,302,000"
52,53,53,Billy Andrade,27,6.94,"$1,313,046","$18,930,300"
53,54,54,Trevor Dodds,2,6.7,"$66,365","$990,000"
54,T55,T55,Alex Cejka,1,6.68,"$57,310","$858,300"
55,T55,T55,Raphael Jacquelin,1,6.68,"$57,310","$858,300"
56,T55,T55,Des Smyth,1,6.68,"$57,310","$858,300"
57,58,58,Rory Sabbatini,23,6.29,"$1,038,589","$16,500,300"
58,59,59,Colin Montgomerie,7,6.28,"$402,762","$6,412,300"
59,60,60,J.J. Henry,28,6.18,"$1,073,846","$17,388,000"
60,T61,T61,John Cook,25,6.16,"$1,022,778","$16,614,000"
61,T61,T61,Joel Edwards,30,6.16,"$1,193,528","$19,368,000"
62,63,63,Tom Pernice Jr.,33,6.14,"$1,318,761","$21,492,000"
63,64,64,Chris Riley,30,6.1,"$1,198,224","$19,638,000"
64,65,65,Brian Gay,32,6.0,"$1,299,361","$21,648,300"
65,66,66,Cameron Beckman,29,5.88,"$1,071,342","$18,234,000"
66,67,67,Robert Damron,27,5.74,"$1,059,187","$18,450,000"
