,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Tiger Woods,20,63.0,"$9,188,321","$14,585,150"
1,2,2,Phil Mickelson,23,29.46,"$4,746,457","$16,114,150"
2,3,3,Ernie Els,20,24.14,"$3,469,405","$14,369,150"
3,4,4,David Duval,19,19.35,"$2,462,845","$12,729,150"
4,5,5,Hal Sutton,25,18.01,"$3,061,444","$16,996,150"
5,6,6,Jesper Parnevik,20,17.24,"$2,413,345","$13,999,150"
6,7,7,Darren Clarke,10,16.46,"$1,393,364","$8,465,150"
7,8,8,Vijay Singh,26,14.68,"$2,573,834","$17,527,150"
8,9,9,Tom Lehman,21,14.12,"$2,068,498","$14,647,150"
9,10,10,Davis Love III,25,13.8,"$2,337,764","$16,942,150"
10,11,11,Nick Price,18,13.63,"$1,804,432","$13,235,150"
11,12,12,Phillip Price,4,13.49,"$493,750","$3,659,150"
12,13,13,Ted Purdy,1,13.33,"$72,000","$540,000"
13,14,14,Thomas Bjørn,9,13.27,"$1,049,647","$7,907,150"
14,15,15,Mike Weir,28,13.19,"$2,547,828","$19,310,150"
15,16,16,Loren Roberts,24,12.15,"$1,932,279","$15,907,150"
16,17,17,Stewart Cink,27,12.05,"$2,169,727","$18,004,150"
17,T18,T18,Robert Allenby,26,11.63,"$1,968,685","$16,934,150"
18,T18,T18,Jim Furyk,25,11.63,"$1,940,518","$16,690,150"
19,20,20,Paul Azinger,20,11.57,"$1,597,139","$13,801,150"
20,21,21,Notah Begay III,24,11.5,"$1,819,323","$15,825,150"
21,22,22,Kirk Triplett,28,11.2,"$2,099,942","$18,742,150"
22,23,23,John Huston,23,10.97,"$1,631,694","$14,871,150"
23,24,24,Lee Westwood,10,10.77,"$911,635","$8,465,150"
24,25,25,Justin Leonard,28,10.7,"$2,023,464","$18,914,150"
25,26,26,Steve Flesch,32,10.17,"$2,025,780","$19,912,150"
26,27,27,David Toms,31,10.1,"$2,002,068","$19,831,150"
27,28,28,Stuart Appleby,24,9.82,"$1,642,221","$16,718,150"
28,29,29,Scott Verplank,28,9.79,"$1,747,642","$17,850,150"
29,30,30,Bob May,26,9.63,"$1,557,720","$16,176,150"
30,31,31,Carlos Franco,24,9.51,"$1,550,591","$16,313,150"
31,32,32,Mark Calcavecchia,28,9.3,"$1,702,316","$18,302,150"
32,33,33,Franklin Langham,28,9.19,"$1,604,952","$17,461,000"
33,34,34,Chris DiMarco,33,9.08,"$1,842,221","$20,290,150"
34,35,35,Duffy Waldorf,23,8.99,"$1,384,507","$15,409,000"
35,36,36,Sergio Garcia,16,8.96,"$1,054,337","$11,767,150"
36,37,37,Steve Lowery,30,8.87,"$1,543,818","$17,397,000"
37,38,38,Grant Waite,26,8.39,"$1,142,788","$13,626,000"
38,39,39,Colin Montgomerie,9,8.26,"$653,043","$7,907,150"
