,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,Marc Leishman,77,"85' 2""",Northern Trust Open,3,15
1,2,2,Webb Simpson,92,"75' 0""",Tampa Bay Championship presented by EverBank,4,13
2,3,3,Nick O'Hern,34,"72' 4""",FedEx St. Jude Classic,2,10
3,4,4,Brad Fritsch,81,"72' 0""",AT&T National,2,6
4,5,5,"Ted Potter, Jr.",65,"71' 9""",Sony Open in Hawaii,2,5
5,6,6,Nicholas Thompson,99,"71' 7""",Wells Fargo Championship,1,7
6,7,7,Dicky Pride,71,"71' 4""",John Deere Classic,2,18
7,8,8,Graeme McDowell,53,"71' 3""",World Golf Championships-Bridgestone Invitational,4,14
8,9,9,Brandt Jobe,62,"71' 0""",RBC Heritage,4,17
9,10,10,Bubba Watson,76,"70' 6""",World Golf Championships-Bridgestone Invitational,1,3
10,T11,11,Jeff Maggert,63,"70' 3""",Wyndham Championship,3,6
11,T11,12,Ken Duke,87,"70' 3""",The Barclays,2,10
12,13,13,Ben Curtis,59,"70' 0""",THE PLAYERS Championship,4,1
13,14,14,Ricky Barnes,74,"69' 11""",Valero Texas Open,2,13
14,15,15,Brian Stuard,78,"69' 2""",HP Byron Nelson Championship,2,15
15,16,16,Daniel Summerhays,83,"68' 3""",Valero Texas Open,1,8
16,17,17,Nick Watney,88,"68' 1""",Hyundai Tournament of Champions,1,18
17,18,18,Derek Ernst,58,"67' 6""",Wells Fargo Championship,1,17
18,19,19,Kevin Shields,2,"67' 1""",The Greenbrier Classic,1,10
19,20,20,Aaron Baddeley,68,"66' 10""",Farmers Insurance Open,3,3
20,21,21,Chez Reavie,72,"66' 0""",Zurich Classic of New Orleans,2,6
21,22,22,Russell Henley,80,"65' 3""",RBC Heritage,4,11
22,23,23,Jason Kokrak,78,"64' 11""",The Greenbrier Classic,4,11
23,24,24,Thorbjørn Olesen,31,"64' 7""",World Golf Championships-Bridgestone Invitational,2,6
24,25,23,Jason Kokrak,78,"63' 10""",The Greenbrier Classic,3,14
25,26,26,Nicolas Colsaerts,50,"63' 7""",Waste Management Phoenix Open,1,17
26,27,27,Robert Karlsson,56,"62' 10""",Valero Texas Open,2,14
27,28,28,Jason Day,86,"62' 8""",TOUR Championship by Coca-Cola,1,1
28,29,29,Charley Hoffman,84,"62' 5""",Humana Challenge in partnership with the Clinton Foundation,2,6
29,T30,31,Ben Crane,62,"62' 0""",THE PLAYERS Championship,4,3
30,T30,30,Boo Weekley,100,"62' 0""",Shell Houston Open,2,8
