,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,T1,T1,Fulton Allem,56,0.0,,32,E
1,T1,T1,Stephen Ames,88,0.0,,33,E
2,T1,T1,Jeremy Anderson,69,0.0,,12,E
3,T1,T1,Billy Andrade,82,0.0,,16,E
4,T1,T1,Stuart Appleby,105,0.0,,55,E
5,T1,T1,Tommy Armour III,93,0.0,,45,E
6,T1,T1,Rich Beem,91,0.0,,4,E
7,T1,T1,Olin Browne,99,0.0,,42,E
8,T1,T1,Bob Burns,92,0.0,,42,E
9,T1,T1,Tom Byrum,85,0.0,,34,E
10,T1,T1,Greg Chalmers,92,0.0,,20,E
11,T1,T1,K.J. Choi,95,0.0,,12,E
12,T1,T1,Michael Clark II,87,0.0,,35,E
13,T1,T1,Keith Clearwater,62,0.0,,9,E
14,T1,T1,Russ Cochran,76,0.0,,42,E
15,T1,T1,John Cook,91,0.0,,44,E
16,T1,T1,Robert Damron,91,0.0,,40,E
17,T1,T1,Doug Dunakey,83,0.0,,22,E
18,T1,T1,Scott Dunlap,80,0.0,,17,E
19,T1,T1,David Duval,78,0.0,,52,E
20,T1,T1,Brad Elder,111,0.0,,29,E
21,T1,T1,Steve Elkington,64,0.0,,24,E
22,T1,T1,Ernie Els,70,0.0,,39,E
23,T1,T1,Ben Ferguson,76,0.0,,12,E
24,T1,T1,Steve Flesch,112,0.0,,56,E
25,T1,T1,Carlos Franco,87,0.0,,24,E
26,T1,T1,Harrison Frazar,88,0.0,,22,E
27,T1,T1,Robin Freeman,105,0.0,,23,E
28,T1,T1,Edward Fryatt,93,0.0,,15,E
29,T1,T1,Jim Furyk,88,0.0,,42,E
30,T1,T1,Robert Gamez,59,0.0,,4,E
31,T1,T1,Brent Geiberger,84,0.0,,34,E
32,T1,T1,Matt Gogel,83,0.0,,23,E
33,T1,T1,Mathew Goggin,96,0.0,,42,E
34,T1,T1,Jason Gore,82,0.0,,21,E
35,T1,T1,Paul Gow,79,0.0,,15,E
36,T1,T1,Hunter Haas,78,0.0,,6,E
37,T1,T1,Jeff Hart,87,0.0,,32,E
