,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Justin Thomas,99,414,World Golf Championships-Bridgestone Invitational,2,16,36
1,2,2,Bubba Watson,72,411,Hyundai Tournament of Champions,3,6,656
2,3,2,Bubba Watson,72,409,AT&T Pebble Beach Pro-Am,3,6,5
3,4,4,Rhein Gibson,58,406,RBC Canadian Open,3,16,32
4,5,5,Jason Day,76,404,RBC Canadian Open,2,18,32
5,T6,T6,Kevin Kisner,97,403,Hyundai Tournament of Champions,2,17,656
6,T6,T6,Gary Woodland,95,403,Wells Fargo Championship,4,16,698
7,8,8,Davis Love III,46,400,Hyundai Tournament of Champions,3,6,656
8,T9,2,Bubba Watson,72,399,World Golf Championships-Bridgestone Invitational,3,16,36
9,T9,1,Justin Thomas,99,399,Hyundai Tournament of Champions,4,6,656
10,T9,T9,Brooks Koepka,75,399,Hyundai Tournament of Champions,2,17,656
11,T12,T12,George Coetzee,26,398,RBC Canadian Open,2,18,32
12,T12,T12,Jared du Toit,4,398,RBC Canadian Open,2,3,32
13,T14,5,Jason Day,76,397,Hyundai Tournament of Champions,4,6,656
14,T14,5,Jason Day,76,397,Hyundai Tournament of Champions,4,17,656
15,T14,T14,Dustin Johnson,87,397,Hyundai Tournament of Champions,1,12,656
16,T14,T14,Dustin Johnson,87,397,Hyundai Tournament of Champions,1,17,656
17,T14,T14,Russell Knox,92,397,Hyundai Tournament of Champions,3,17,656
18,T19,T14,Dustin Johnson,87,396,Hyundai Tournament of Champions,1,7,656
19,T19,T19,Hugo Bernard,2,396,RBC Canadian Open,2,10,32
20,T21,T21,Ernie Els,66,395,RBC Canadian Open,2,10,32
21,T21,T21,Ernie Els,66,395,RBC Canadian Open,2,18,32
22,T21,T21,Scott Piercy,87,395,Hyundai Tournament of Champions,1,17,656
23,T21,T21,Brandt Snedeker,93,395,Hyundai Tournament of Champions,3,17,656
24,T21,5,Jason Day,76,395,RBC Canadian Open,3,11,32
25,T21,T21,Brett Stegmaier,87,395,Waste Management Phoenix Open,1,15,510
26,T21,T21,Jordan Spieth,80,395,Hyundai Tournament of Champions,4,6,656
