,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,Alex Cejka,71,"84' 6""",RBC Canadian Open,3,18
1,2,2,Retief Goosen,55,"80' 9""",The Honda Classic,4,12
2,3,3,Brendon Todd,66,"80' 7""",Northern Trust Open,1,12
3,4,4,Rory McIlroy,69,"79' 9""",Wells Fargo Championship,3,17
4,5,5,Rickie Fowler,80,"79' 0""",Shriners Hospitals for Children Open,2,13
5,6,6,Brendan Steele,88,"77' 0""",Northern Trust Open,3,5
6,7,7,Zach Johnson,90,"76' 5""",Deutsche Bank Championship,4,15
7,8,8,Jason Day,76,"75' 0""",Hyundai Tournament of Champions,4,5
8,9,7,Zach Johnson,90,"74' 10""",The Honda Classic,2,14
9,10,8,Jason Day,76,"74' 8""",PGA Championship,3,6
10,11,11,Patton Kizzire,93,"73' 8""",The Honda Classic,4,11
11,12,12,Marc Turnesa,25,"73' 6""",Valero Texas Open,2,10
12,13,8,Jason Day,76,"71' 0""",The Barclays,4,15
13,14,14,Martin Piller,59,"69' 6""",Barbasol Championship,2,13
14,15,15,Jon Rahm,33,"68' 9""",RBC Canadian Open,3,16
15,16,16,Dustin Johnson,87,"68' 7""",Shell Houston Open,2,9
16,17,7,Zach Johnson,90,"68' 3""",Travelers Championship,4,15
17,18,18,Russell Knox,92,"67' 1""",Hyundai Tournament of Champions,4,1
18,19,19,Michael Thompson,71,"66' 6""",FedEx St. Jude Classic,2,13
19,20,20,Jared du Toit,4,"66' 5""",RBC Canadian Open,2,6
20,21,21,Kevin Streelman,82,"65' 11""",Valero Texas Open,3,13
21,22,8,Jason Day,76,"65' 10""",World Golf Championships-Cadillac Championship,3,18
22,23,23,Ian Poulter,45,"65' 4""",THE PLAYERS Championship,1,13
23,24,24,Camilo Villegas,83,"65' 1""",the Memorial Tournament presented by Nationwide,2,15
24,25,25,Brett Stegmaier,87,"64' 11""",Valspar Championship,3,7
25,26,26,Henrik Norlander,71,"64' 10""",Wyndham Championship,1,7
26,27,27,Graham DeLaet,70,"64' 8""",RBC Canadian Open,1,2
27,28,28,Jim Herman,93,"64' 7""",Farmers Insurance Open,2,18
28,T29,30,Charles Howell III,91,"64' 3""",Quicken Loans National,3,7
29,T29,29,Charl Schwartzel,73,"64' 3""",Valspar Championship,4,13
30,T29,31,Jarrod Lyle,26,"64' 3""",Barbasol Championship,2,3
31,32,32,Zac Blair,99,"64' 2""",Waste Management Phoenix Open,2,11
32,33,33,Scott Pinckney,87,"64' 1""",AT&T Byron Nelson,2,18
33,34,30,Charles Howell III,91,"64' 0""",the Memorial Tournament presented by Nationwide,2,15
34,T35,36,Scott Piercy,87,"63' 11""",World Golf Championships-Cadillac Championship,3,2
35,T35,37,Dawie van der Walt,72,"63' 11""",Shell Houston Open,2,6
36,T35,35,Scott Langley,65,"63' 11""",Frys.com Open,1,7
37,38,30,Charles Howell III,91,"63' 3""",Shriners Hospitals for Children Open,2,17
38,39,39,Tom Hoge,81,"63' 2""",Travelers Championship,1,9
39,40,11,Patton Kizzire,93,"62' 11""",Shriners Hospitals for Children Open,2,8
40,41,41,Jhonattan Vegas,97,"62' 6""",Barbasol Championship,4,5
41,42,42,Sung Kang,89,"62' 4""",Shell Houston Open,4,10
42,43,43,Jim Furyk,52,"62' 2""",Wyndham Championship,3,15
43,44,44,Mark Wilson,66,"61' 11""",Northern Trust Open,3,14
44,T45,46,Dicky Pride,55,"61' 10""",Barbasol Championship,3,18
45,T45,45,K.T. Kim,22,"61' 10""",World Golf Championships-Cadillac Championship,4,15
46,47,35,Scott Langley,65,"61' 7""",Quicken Loans National,1,3
47,48,48,Steve Stricker,53,"61' 6""",Valspar Championship,2,4
48,49,49,Jimmy Walker,85,"61' 5""",Farmers Insurance Open,3,5
49,50,50,Harris English,97,"61' 4""",Shell Houston Open,2,14
50,51,51,Bubba Watson,72,"61' 2""",World Golf Championships-Cadillac Championship,4,8
51,52,52,Andres Gonzales,80,"61' 0""",Barbasol Championship,2,3
52,53,53,Boo Weekley,83,"60' 8""",Shell Houston Open,2,6
53,54,54,Ángel Cabrera,62,"60' 6""",Shell Houston Open,2,13
54,55,55,Colt Knost,90,"60' 5""",Shell Houston Open,4,5
55,T56,57,Vijay Singh,72,"60' 1""",The Barclays,1,8
56,T56,56,Adam Scott,79,"60' 1""",Wells Fargo Championship,3,12
57,58,58,Tyrone Van Aswegen,105,"59' 8""",Shell Houston Open,3,5
58,T59,8,Jason Day,76,"59' 6""",Zurich Classic of New Orleans,1,16
59,T59,60,Kevin Chappell,93,"59' 6""",TOUR Championship,1,9
60,61,12,Marc Turnesa,25,"59' 3""",Valero Texas Open,1,17
61,T62,63,Francesco Molinari,64,"59' 1""",Travelers Championship,3,7
62,T62,62,Billy Hurley III,66,"59' 1""",World Golf Championships-Bridgestone Invitational,1,8
63,64,4,Rory McIlroy,69,"59' 0""",Arnold Palmer Invitational presented by MasterCard,4,18
