,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,Søren Kjeldsen,23,"90' 0""",Shell Houston Open,3,3
1,2,2,Chris DiMarco,88,"88' 6""",RBC Canadian Open,3,17
2,3,3,Jason Day,82,"88' 3""",John Deere Classic,4,4
3,4,4,John Little II,2,"87' 8""",Valero Texas Open,1,7
4,5,5,Aaron Baddeley,94,"87' 7""",Valero Texas Open,2,17
5,6,6,Matt Jones,89,"79' 8""",Farmers Insurance Open,1,9
6,7,7,Stephen Ames,75,"79' 7""",Turning Stone Resort Championship,4,8
7,8,8,Tim Clark,88,"79' 0""",the Memorial Tournament presented by Nationwide Insurance,1,5
8,9,9,Charley Hoffman,85,"77' 8""",St. Jude Classic presented by Smith & Nephew,2,14
9,10,10,Chris Stroud,90,"77' 7""",Valero Texas Open,2,1
10,11,11,Greg Owen,69,"77' 1""",The McGladrey Classic,1,18
11,12,12,Michael Allen,49,"76' 8""",Waste Management Phoenix Open,2,8
12,13,13,Chad Collins,87,"73' 8""",Quail Hollow Championship,4,18
13,14,14,Ian Poulter,55,"73' 2""",BMW Championship,1,14
14,15,15,Alvaro Quiros,27,"72' 9""",Waste Management Phoenix Open,4,5
15,16,16,Dustin Johnson,83,"71' 9""",Sony Open in Hawaii,1,14
16,17,17,Jerry Kelly,99,"70' 9""",World Golf Championships-CA Championship,4,14
17,18,18,Jeff Burns,4,"69' 9""",Valero Texas Open,2,17
18,19,19,Charles Howell III,103,"68' 9""",Turning Stone Resort Championship,1,13
19,20,6,Matt Jones,89,"67' 9""",BMW Championship,4,17
20,21,21,Brian Davis,101,"67' 5""",AT&T National,1,12
21,T22,22,Jeff Gove,57,"66' 2""",Wyndham Championship,2,10
22,T22,23,Steve Marino,81,"66' 2""",Deutsche Bank Championship,3,11
23,24,24,WC Liang,14,"66' 0""",Sony Open in Hawaii,3,5
24,25,25,Mathew Goggin,85,"65' 6""",Waste Management Phoenix Open,4,13
25,26,5,Aaron Baddeley,94,"65' 5""",The Greenbrier Classic,3,14
26,T27,28,Joe Ogilvie,99,"65' 4""",Shell Houston Open,4,18
27,T27,29,Michael Sim,64,"65' 4""",Deutsche Bank Championship,3,5
28,T27,27,Ryo Ishikawa,32,"65' 4""",Arnold Palmer Invitational presented by MasterCard,4,5
29,30,30,Phil Mickelson,76,"65' 2""",the Memorial Tournament presented by Nationwide Insurance,2,7
30,31,31,Glen Day,38,"65' 1""",Turning Stone Resort Championship,1,5
31,T32,33,Brett Quigley,96,"64' 9""",John Deere Classic,2,15
32,T32,16,Dustin Johnson,83,"64' 9""",Northern Trust Open,1,12
33,34,34,Vijay Singh,75,"64' 7""",The Honda Classic,2,17
34,35,35,Brent Delahoussaye,57,"64' 4""",Turning Stone Resort Championship,2,6
35,36,36,Kevin Stadler,86,"64' 2""",Zurich Classic of New Orleans,1,7
36,37,37,Derek Lamely,81,"63' 11""",Farmers Insurance Open,3,2
37,38,38,Richard Johnson,90,"63' 10""",John Deere Classic,2,15
38,39,39,Brendan Gielow,2,"63' 9""",Wyndham Championship,2,3
39,40,40,Matt Kuchar,97,"63' 7""",BMW Championship,1,12
40,41,41,John Merrick,109,"63' 4""",Shell Houston Open,1,3
41,42,42,Robert Garrigus,71,"62' 10""",Frys.com Open,4,18
42,43,43,Tom Pernice Jr.,74,"62' 6""",Zurich Classic of New Orleans,1,12
43,44,44,Parker McLachlin,45,"62' 0""",Waste Management Phoenix Open,2,7
44,T45,38,Richard Johnson,90,"61' 8""",The McGladrey Classic,1,12
45,T45,45,Kevin Streelman,90,"61' 8""",The Barclays,4,4
46,47,47,Nathan Green,86,"61' 5""",Turning Stone Resort Championship,3,7
47,48,48,Brett Wetterich,54,"61' 4""",Wyndham Championship,4,18
48,49,38,Richard Johnson,90,"61' 2""",Turning Stone Resort Championship,1,5
49,T50,50,Kevin Sutherland,86,"61' 1""",the Memorial Tournament presented by Nationwide Insurance,2,1
50,T50,51,Tiger Woods,45,"61' 1""",AT&T National,1,5
51,52,52,Tom Gillis,97,"61' 0""",Verizon Heritage,3,3
52,53,53,Chad Campbell,94,"60' 8""",Viking Classic,2,1
53,54,54,Jeev Milkha Singh,59,"60' 7""",Transitions Championship,2,3
54,55,55,J.B. Holmes,100,"60' 6""",The McGladrey Classic,1,2
55,56,12,Michael Allen,49,"60' 4""",Farmers Insurance Open,4,11
56,57,57,John Senden,103,"60' 2""",Crowne Plaza Invitational at Colonial,2,5
