,Non-member_Earnings_RANK THIS WEEK,Non-member_Earnings_RANK LAST WEEK,Non-member_Earnings_PLAYER NAME,Non-member_Earnings_EVENTS,Non-member_Earnings_MONEY,Non-member_Earnings_TOTAL
0,1,1,Joaquin Niemann,13,"$1,209,957","$1,209,957"
1,2,2,John Oda,7,"$559,685","$559,685"
2,3,3,Sam Burns,11,"$495,916","$495,916"
3,4,4,Julian Suri,10,"$484,737","$562,165"
4,5,5,Kiradech Aphibarnrat,14,"$484,734","$1,275,484"
5,6,6,Matthew Fitzpatrick,13,"$448,215","$830,393"
6,7,7,Eddie Pepperell,2,"$348,317","$348,317"
7,8,8,Dylan Frittelli,11,"$331,177","$454,677"
8,9,9,HaoTong Li,12,"$323,631","$544,006"
9,10,10,Paul Dunne,8,"$297,938","$468,938"
10,11,11,Dylan Meyer,8,"$275,109","$275,109"
11,12,12,John Peterson,10,"$251,925","$251,925"
12,13,13,Chris Paisley,4,"$216,900","$289,900"
13,14,14,Brandon Stone,5,"$213,064","$364,939"
14,15,15,Chase Seiffert,2,"$189,000","$189,000"
15,16,16,Scott Strohmeyer,3,"$177,733","$177,733"
16,17,17,Thorbjørn Olesen,5,"$177,067","$759,067"
17,18,18,A.J. McInerney,4,"$164,923","$164,923"
18,19,19,Ryan Fox,4,"$160,403","$217,903"
19,20,20,Alex Kang,2,"$150,733","$150,733"
20,21,21,Sam Horsfield,1,"$137,950","$137,950"
21,22,22,Seungsu Han,3,"$132,603","$132,603"
22,23,23,Doug Ghim,7,"$116,527","$116,527"
23,24,24,Matt Wallace,3,"$113,125","$113,125"
24,25,25,T.J. Vogel,8,"$110,021","$110,021"
25,26,26,Erik van Rooyen,1,"$109,714","$109,714"
26,27,27,Maverick McNealy,7,"$103,624","$103,624"
27,28,28,Bernd Wiesberger,5,"$93,775","$428,632"
28,29,29,Shubhankar Sharma,11,"$91,357","$370,607"
29,30,30,Danny Willett,6,"$84,000","$84,000"
30,31,31,David Lipsky,3,"$81,200","$194,950"
31,32,32,Matthieu Pavon,1,"$79,200","$79,200"
32,33,33,Daisuke Kataoka,2,"$75,463","$183,363"
33,34,34,Chris Wood,3,"$73,953","$73,953"
34,35,35,Wyndham Clark,3,"$68,800","$68,800"
35,36,36,Yuta Ikeda,8,"$63,993","$208,921"
36,37,37,K.T. Kim,1,"$62,900","$62,900"
37,38,38,Gavin Kyle Green,5,"$59,285","$175,285"
38,39,39,Cameron Davis,4,"$56,555","$56,555"
39,40,40,Ryan Yip,1,"$55,889","$55,889"
40,41,41,Nick Hardy,3,"$54,120","$54,120"
41,42,42,Oscar Fraustro,1,"$50,804","$50,804"
42,43,43,Yusaku Miyazato,7,"$48,622","$156,336"
