,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_EVENTS,Presidents_Cup_International_AVG POINTS,Presidents_Cup_International_TOTAL POINTS,Presidents_Cup_International_POINTS LOST,Presidents_Cup_International_POINTS GAINED
0,1,1,Jason Day,40,11.05,441.88,-163.41,372.85
1,2,2,Louis Oosthuizen,47,4.69,220.23,-66.36,167.78
2,3,3,Adam Scott,42,4.57,192.04,-204.89,73.11
3,4,4,Hideki Matsuyama,52,4.26,221.56,-133.24,145.29
4,5,5,Branden Grace,52,3.83,198.92,-64.18,171.6
5,6,6,Marc Leishman,51,2.91,148.36,-76.07,89.17
6,7,7,Anirban Lahiri,52,2.66,138.31,-59.58,104.45
7,8,8,Charl Schwartzel,52,2.61,135.54,-109.52,90.28
8,9,9,Thongchai Jaidee,52,2.58,134.07,-87.45,75.45
9,10,10,Danny Lee,52,2.39,124.26,-24.97,110.73
10,11,11,Steven Bowditch,52,2.38,123.74,-45.62,86.55
11,12,12,Byeong Hun An,52,2.29,118.87,-30.33,99.47
12,13,13,John Senden,52,2.26,117.51,-72.6,60.96
13,14,14,Matt Jones,52,2.19,113.76,-68.65,88.4
14,15,15,George Coetzee,52,2.19,113.64,-56.2,78.38
15,16,16,Kiradech Aphibarnrat,52,2.01,104.57,-48.83,83.53
16,17,17,Hiroshi Iwata,52,1.73,89.84,-39.77,34.53
17,18,18,Cameron Smith,40,1.72,68.7,-16.78,48.68
18,19,19,Sangmoon Bae,52,1.67,86.72,-51.92,48.73
19,20,20,Tim Clark,40,1.63,65.35,-53.48,5.6
20,21,21,Graham DeLaet,48,1.55,74.47,-88.62,43.31
21,22,22,Emiliano Grillo,52,1.54,79.86,-41.25,54.94
22,23,23,Koumei Oda,52,1.53,79.32,-65.07,25.23
23,24,24,Geoff Ogilvy,46,1.5,68.81,-41.59,31.61
24,25,25,David Hearn,52,1.48,77.16,-43.44,53.84
25,26,26,Prayad Marksaeng,52,1.41,73.17,-35.92,47.15
26,27,27,K.T. Kim,49,1.4,68.83,-21.76,57.36
27,28,28,Brendon de Jonge,52,1.38,71.76,-59.8,39.73
28,29,29,Jaco Van Zyl,40,1.34,53.45,-19.77,53.64
29,30,30,Ernie Els,52,1.33,69.09,-77.42,30.13
30,31,31,Rory Sabbatini,51,1.33,67.59,-38.74,56.93
31,32,32,Ryan Fox,40,1.32,52.97,-14.25,39.04
32,33,33,Thomas Aiken,52,1.23,63.82,-39.0,44.55
33,34,34,Brad Kennedy,47,1.21,56.8,-26.43,40.65
34,35,35,Fabián Gómez,52,1.2,62.36,-19.53,42.38
