,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,Notah Begay III,92,"86' 3""",Chrysler Championship,1,17
1,2,2,Jeff Brehaut,110,"84' 7""",John Deere Classic,1,9
2,3,3,Arron Oberholser,80,"83' 1""",The Honda Classic,2,7
3,4,4,Jason Caron,74,"80' 4""",The Honda Classic,2,7
4,5,5,Paul Gow,62,"80' 2""",B.C. Open,1,17
5,6,6,Rory Sabbatini,95,"79' 6""",Valero Texas Open,1,16
6,7,7,Todd Fischer,97,"79' 4""",FBR Capital Open,3,12
7,8,8,K.J. Choi,112,"78' 10""",the Memorial Tournament,3,15
8,T9,9,Aaron Barber,94,"78' 2""",The Honda Classic,2,7
9,T9,5,Paul Gow,62,"78' 2""",Shell Houston Open,1,7
10,11,11,Brett Quigley,92,"76' 4""",The Honda Classic,3,14
11,12,12,Craig Barlow,95,"76' 1""",FedEx St. Jude Classic,2,14
12,13,13,Pat Perez,95,"75' 7""",Buick Invitational,4,12
13,T14,14,Esteban Toledo,109,"75' 0""",Phoenix Open,1,7
14,T14,15,Kenichi Kuboya,91,"75' 0""",Las Vegas Invitational,4,6
15,16,16,Brad Faxon,97,"74' 4""",THE TOUR Championship presented by Coca-Cola,2,1
16,17,17,Ty Tryon,52,"74' 0""",Bay Hill Invitational presented by Cooper Tires,4,4
17,18,18,Robert Damron,96,"73' 10""",Deutsche Bank Championship,1,16
18,19,19,Tom Carter,21,"73' 5""",FUNAI Classic at the WALT DISNEY WORLD Resort,4,1
19,20,20,Mike Standly,27,"72' 9""",Greater Milwaukee Open,1,16
20,21,21,Chad Campbell,105,"72' 5""",THE TOUR Championship presented by Coca-Cola,3,12
21,22,12,Craig Barlow,95,"72' 0""",Buick Open,4,2
22,23,23,Briny Baird,113,"71' 8""",Deutsche Bank Championship,1,14
23,24,24,Charles Howell III,120,"71' 0""",Phoenix Open,2,11
24,25,25,Jeff Klein,60,"70' 7""",Deutsche Bank Championship,1,6
25,26,26,Paul Azinger,73,"70' 4""",Phoenix Open,1,7
26,27,27,Stuart Appleby,90,"70' 2""",World Golf Championships-NEC Invitational,3,3
27,28,28,Neal Lancaster,110,"70' 1""",Bell Canadian Open,2,5
28,29,29,Dave Rummells,16,"70' 0""",84 Lumber Classic of Pennsylvania,1,5
29,T30,31,Tommy Armour III,66,"69' 11""",FedEx St. Jude Classic,1,16
30,T30,30,Jay Don Blake,77,"69' 11""",Chrysler Classic of Tucson,2,16
31,32,32,Scott Laycock,71,"69' 10""",FBR Capital Open,2,15
32,33,33,Garrett Willis,97,"69' 4""",Deutsche Bank Championship,1,11
33,34,34,Mathew Goggin,90,"69' 3""",The Honda Classic,2,17
34,35,35,Steve Flesch,110,"68' 9""",Bank of America Colonial,1,5
35,36,36,John Daly,56,"68' 3""",Bay Hill Invitational presented by Cooper Tires,2,3
36,T37,38,Dennis Paulson,49,"67' 7""",B.C. Open,1,13
37,T37,37,Mike Grob,83,"67' 7""",EDS Byron Nelson Championship,2,3
38,39,39,Peter Jacobsen,75,"67' 5""",John Deere Classic,1,18
39,40,40,David Toms,90,"67' 0""",World Golf Championships-American Express Championship,2,2
40,41,41,Patrick Sheehan,101,"66' 11""",FBR Capital Open,2,2
41,T42,43,Taichi Teshima,4,"66' 7""",World Golf Championships-American Express Championship,3,14
42,T42,42,Mark Wilson,82,"66' 7""",Shell Houston Open,1,10
43,T44,45,Billy Mayfair,105,"66' 6""",Chrysler Classic of Greensboro,1,18
44,T44,44,Willie Wood,34,"66' 6""",Valero Texas Open,2,16
45,46,46,Ben Crane,94,"66' 1""",Sony Open in Hawaii,2,11
46,T47,48,Danny Ellis,34,"65' 11""",Greater Milwaukee Open,4,16
47,T47,3,Arron Oberholser,80,"65' 11""",Shell Houston Open,4,5
48,49,9,Aaron Barber,94,"65' 9""",Bay Hill Invitational presented by Cooper Tires,1,16
49,T50,50,Bob Tway,89,"65' 8""",Ford Championship at Doral,4,14
50,T50,46,Ben Crane,94,"65' 8""",Bay Hill Invitational presented by Cooper Tires,2,1
51,52,52,Brandel Chamblee,43,"65' 6""",Phoenix Open,1,9
52,T53,54,Hank Kuehne,73,"65' 3""",EDS Byron Nelson Championship,4,8
53,T53,53,Gibby Martens,4,"65' 3""",Buick Invitational,2,16
54,55,55,Tim Wilkinson,4,"65' 1""",Deutsche Bank Championship,1,17
55,56,39,Peter Jacobsen,75,"64' 10""",FedEx St. Jude Classic,2,10
56,57,57,Donnie Hammond,92,"64' 5""",John Deere Classic,2,7
57,58,58,Cliff Kresge,102,"64' 4""",Ford Championship at Doral,2,7
58,T59,59,Craig Parry,49,"63' 10""",Nissan Open,2,13
59,T59,60,Glen Day,103,"63' 10""",The Honda Classic,2,14
60,61,61,Kirk Triplett,92,"63' 6""",FedEx St. Jude Classic,2,17
61,62,33,Garrett Willis,97,"63' 4""",Buick Open,3,13
62,63,63,Jeff Gallagher,31,"62' 11""",BellSouth Classic,2,3
63,T64,65,John Maginnes,87,"62' 10""",FUNAI Classic at the WALT DISNEY WORLD Resort,1,16
64,T64,64,Chris Anderson,96,"62' 10""",Reno-Tahoe Open,4,10
65,66,66,David Duval,47,"62' 9""",the Memorial Tournament,3,6
66,67,67,Deane Pappas,75,"61' 10""",Buick Classic,4,15
67,T68,68,Robin Freeman,34,"61' 9""",FedEx St. Jude Classic,2,17
68,T68,69,Stephen Ames,91,"61' 9""",FUNAI Classic at the WALT DISNEY WORLD Resort,4,12
69,70,70,Carlos Franco,99,"61' 7""",100th Western Open presented by Golf Digest,4,11
70,71,71,Fred Couples,71,"61' 6""",Shell Houston Open,4,8
71,72,72,Justin Leonard,80,"61' 5""",World Golf Championships-NEC Invitational,4,10
72,T73,3,Arron Oberholser,80,"61' 4""",Buick Invitational,2,11
73,T73,46,Ben Crane,94,"61' 4""",BellSouth Classic,4,8
74,75,75,Tim Petrovic,108,"61' 2""",Phoenix Open,1,17
75,T76,76,Jim Furyk,104,"60' 9""",Bank of America Colonial,2,3
76,T76,77,Steven Alker,87,"60' 9""",FBR Capital Open,1,8
77,T76,78,Aaron Baddeley,71,"60' 9""",Deutsche Bank Championship,2,10
78,79,79,Joel Edwards,60,"60' 8""",FedEx St. Jude Classic,1,12
79,80,80,Luke Donald,88,"60' 7""",Reno-Tahoe Open,1,8
80,81,81,Steve Stricker,59,"60' 6""",Nissan Open,4,15
81,82,38,Dennis Paulson,49,"60' 5""",Reno-Tahoe Open,4,17
82,83,83,Nick Price,65,"60' 3""",World Golf Championships-American Express Championship,1,1
83,84,84,Robert Allenby,87,"60' 2""",100th Western Open presented by Golf Digest,4,9
84,85,85,Brian Gay,100,"60' 1""",Reno-Tahoe Open,1,14
85,86,86,David Frost,80,"60' 0""",Chrysler Classic of Greensboro,1,11
86,87,25,Jeff Klein,60,"59' 9""",Chrysler Classic of Tucson,1,2
87,88,88,Frank Lickliter II,94,"59' 8""",Chrysler Championship,2,15
88,T89,91,Jerry Kelly,108,"59' 7""",THE TOUR Championship presented by Coca-Cola,1,2
