,One-Putt_Percentage_-_Round_2_RANK THIS WEEK,One-Putt_Percentage_-_Round_2_RANK LAST WEEK,One-Putt_Percentage_-_Round_2_PLAYER NAME,One-Putt_Percentage_-_Round_2_%,One-Putt_Percentage_-_Round_2_# OF 1 PUTTS,One-Putt_Percentage_-_Round_2_# OF HOLES
0,1,1,Stewart Cink,46.91,228,486
1,2,2,Ernie Els,46.3,125,270
2,3,3,Steve Stricker,45.28,163,360
3,4,4,Brian Gay,44.78,266,594
4,5,5,John Riegger,44.44,112,252
5,6,6,Tiger Woods,44.12,135,306
6,7,7,Scott McCarron,43.78,197,450
7,8,8,Jason Buha,43.72,181,414
8,9,9,Aaron Baddeley,43.52,141,324
9,10,10,Brian Henninger,43.46,133,306
10,11,11,Kent Jones,43.43,172,396
11,12,12,Greg Chalmers,43.15,233,540
12,13,13,Matt Gogel,43.06,186,432
13,14,14,Vijay Singh,42.95,201,468
14,15,15,Stuart Appleby,42.89,193,450
15,16,16,Tim Herron,42.66,215,504
16,17,17,Pat Perez,42.53,222,522
17,18,18,Dean Wilson,42.39,206,486
18,19,19,Rod Pampling,42.31,198,468
19,20,20,Woody Austin,42.15,220,522
20,21,21,Nick Price,42.01,121,288
21,T22,T22,Dudley Hart,41.98,136,324
22,T22,T22,Chris Riley,41.98,204,486
23,T22,T22,Brent Schwarzrock,41.98,136,324
24,25,25,Tim Clark,41.9,181,432
25,26,26,John Maginnes,41.76,218,522
26,T27,T27,Hank Kuehne,41.67,165,396
27,T27,T27,Scott Laycock,41.67,180,432
28,29,29,Billy Andrade,41.57,217,522
29,30,30,Jay Haas,41.55,172,414
30,T31,T31,Justin Leonard,41.53,157,378
31,T31,T31,Phil Mickelson,41.53,157,378
32,33,33,Skip Kendall,41.48,224,540
33,T34,T34,Tom Byrum,41.3,223,540
34,T34,T34,Mark Calcavecchia,41.3,171,414
35,T34,T34,Hidemichi Tanaka,41.3,223,540
36,37,37,Alex Cejka,41.24,193,468
37,38,38,Akio Sadakata,41.15,200,486
38,T39,T39,Carl Pettersson,41.11,185,450
39,T39,T39,Paul Stankowski,41.11,148,360
40,T41,T41,Paul Gow,41.01,155,378
41,T41,T41,Davis Love III,41.01,155,378
42,43,43,David Frost,40.97,177,432
43,44,44,Mike Weir,40.94,140,342
44,T45,T45,Geoff Ogilvy,40.89,184,450
45,T45,T45,Scott Verplank,40.89,184,450
46,47,47,Tim Petrovic,40.86,228,558
47,48,48,Mark Wilson,40.8,213,522
48,T49,T49,Cameron Beckman,40.74,176,432
49,T49,T49,John Daly,40.74,132,324
50,T49,T49,"Dave Stockton, Jr.",40.74,220,540
51,T52,T52,Mark Brooks,40.67,205,504
52,T52,T52,J.P. Hayes,40.67,183,450
53,54,54,Garrett Willis,40.61,212,522
54,55,55,Adam Scott,40.6,95,234
55,56,56,David Toms,40.58,168,414
56,57,57,Gavin Coles,40.53,197,486
57,58,58,Paul Goydos,40.51,175,432
58,59,59,Andrew Magee,40.44,182,450
59,T60,T60,Peter Jacobsen,40.4,160,396
60,T60,T60,Esteban Toledo,40.4,240,594
61,T60,T60,Cameron Yancey,40.4,160,396
62,63,63,Tom Pernice Jr.,40.19,217,540
63,64,64,Len Mattiace,40.17,188,468
64,65,65,Jeff Brehaut,40.14,224,558
65,66,66,Dicky Pride,40.1,166,414
66,T67,T67,Jeff Maggert,40.05,173,432
67,T67,T67,Arron Oberholser,40.05,173,432
68,69,69,Glen Day,40.04,209,522
69,70,70,John Rollins,39.96,187,468
70,71,71,Brandt Jobe,39.95,151,378
71,72,72,Craig Barlow,39.88,201,504
72,73,73,Loren Roberts,39.86,165,414
73,T74,T74,Chris Anderson,39.78,222,558
74,T74,T74,Robert Damron,39.78,222,558
75,T74,T74,Fred Funk,39.78,222,558
76,77,77,Frank Lickliter II,39.68,200,504
77,78,78,Robert Gamez,39.61,221,558
78,79,79,Ben Crane,39.53,185,468
79,80,80,Todd Barranger,39.46,206,522
80,T81,T81,Robert Allenby,39.42,149,378
81,T81,T81,Kaname Yokoo,39.42,149,378
82,83,83,Lee Janzen,39.37,163,414
83,84,84,John Morgan,39.3,191,486
84,T85,T85,David Gossett,39.29,198,504
85,T85,T85,Glen Hnatiuk,39.29,198,504
86,T87,T87,Kenichi Kuboya,39.27,205,522
87,T87,T87,Jesper Parnevik,39.27,205,522
88,89,89,Brenden Pappas,39.24,226,576
89,90,90,José Coceres,39.18,134,342
90,91,91,Brett Quigley,39.1,183,468
91,92,92,Luke Donald,39.09,190,486
