,Last_15_Events_-_Short_Game_RANK THIS WEEK,Last_15_Events_-_Short_Game_RANK LAST WEEK,Last_15_Events_-_Short_Game_PLAYER NAME,Last_15_Events_-_Short_Game_EVENTS,Last_15_Events_-_Short_Game_RATING
0,1,1,Bob Estes,1,8.5
1,2,2,Chris Williams,1,8.1
2,3,3,Matteo Manassero,3,8.0
3,T4,T4,Scott Hend,1,7.6
4,T4,T4,Kevin Na,9,7.6
5,6,6,Jason Day,7,7.5
6,T7,T7,Stuart Appleby,8,7.4
7,T7,T7,Jon Curran,1,7.4
8,T7,T7,Matt Kuchar,11,7.4
9,T10,T10,Patrick Cantlay,2,7.3
10,T10,T10,Austin Cook,1,7.3
11,T10,T10,Brian Gay,6,7.3
12,T10,T10,Robert Karlsson,2,7.3
13,T10,T10,Sean O'Hair,8,7.3
14,T10,T10,Brady Watt,1,7.3
15,T16,T16,Thomas Bjørn,2,7.2
16,T16,T16,George Coetzee,1,7.2
17,T16,T16,Brad Fritsch,6,7.2
18,T16,T16,Scottie Scheffler,1,7.2
19,T16,T16,Vijay Singh,10,7.2
20,T16,T16,Steve Stricker,9,7.2
21,T22,T22,Rafa Cabrera Bello,1,7.1
22,T22,T22,Roberto Castro,5,7.1
23,T22,T22,Graham DeLaet,7,7.1
24,T22,T22,Jim Furyk,11,7.1
25,T22,T22,Luke Guthrie,6,7.1
26,T22,T22,Chesson Hadley,5,7.1
27,T22,T22,Seung-Yul Noh,5,7.1
28,T22,T22,Patrick Reed,7,7.1
29,T22,T22,Patrick Rodgers,3,7.1
30,T22,T22,Justin Rose,10,7.1
31,T22,T22,Brandt Snedeker,9,7.1
32,T33,T33,Keegan Bradley,6,7.0
33,T33,T33,Bud Cauley,6,7.0
34,T33,T33,David Howell,1,7.0
35,T33,T33,Richard Lee,5,7.0
36,T33,T33,Justin Leonard,8,7.0
37,T33,T33,Spencer Levin,4,7.0
38,T33,T33,Graeme McDowell,11,7.0
39,T40,T40,K.J. Choi,8,6.9
40,T40,T40,Brian Davis,9,6.9
41,T40,T40,Joe Durant,3,6.9
42,T40,T40,Retief Goosen,12,6.9
43,T40,T40,Mikko Ilonen,2,6.9
44,T40,T40,Jin Jeong,1,6.9
45,T40,T40,Chris Kirk,11,6.9
46,T40,T40,Scott Langley,11,6.9
47,T40,T40,Shane Lowry,1,6.9
48,T40,T40,Phil Mickelson,8,6.9
49,T40,T40,Charlie Wi,4,6.9
50,T40,T40,Willy Wilcox,5,6.9
